sample_name,well,index,Factor Value[Tissue],organism,paired_end,has_ERCC,read1_path
GPNJ7M_1_sample_1A,1A,1,Exuding mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_1_sample_1A.fastq.gz
GPNJ7M_2_sample_1B,1B,2,Exuding mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_2_sample_1B.fastq.gz
GPNJ7M_3_sample_1C,1C,3,Exuding mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_3_sample_1C.fastq.gz
GPNJ7M_4_sample_1D,1D,4,Exuding mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_4_sample_1D.fastq.gz
GPNJ7M_5_sample_1E,1E,5,Fuzzy mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_5_sample_1E.fastq.gz
GPNJ7M_6_sample_1F,1F,6,Fuzzy mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_6_sample_1F.fastq.gz
GPNJ7M_7_sample_1G,1G,7,Fuzzy mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_7_sample_1G.fastq.gz
GPNJ7M_8_sample_1H,1H,8,Fuzzy mycelium,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_8_sample_1H.fastq.gz
GPNJ7M_9_sample_2A,2A,9,Exudophore,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_9_sample_2A.fastq.gz
GPNJ7M_10_sample_2B,2B,10,Exudophore,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_10_sample_2B.fastq.gz
GPNJ7M_11_sample_2C,2C,11,Exudophore,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_11_sample_2C.fastq.gz
GPNJ7M_12_sample_2D,2D,12,Exudophore,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_12_sample_2D.fastq.gz
GPNJ7M_13_sample_2E,2E,13,Nodule,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_13_sample_2E.fastq.gz
GPNJ7M_14_sample_2F,2F,14,Nodule,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_14_sample_2F.fastq.gz
GPNJ7M_15_sample_2G,2G,15,Nodule,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_15_sample_2G.fastq.gz
GPNJ7M_16_sample_2H,2H,16,Nodule,Pleurotus ostreatus,false,false,/Users/drb_laptop/Documents/Tissue_specific_myeclium/GPNJ7M_fastq/GPNJ7M_16_sample_2H.fastq.gz
