module	module_size	annotated	ontology	term_id	term_name	genes_in_module	genes_in_background	p	fdr
brown	320	161	GO_MF	GO:0016491	oxidoreductase activity	9	48	0.00128	0.0497
brown	320	161	GO_MF	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	4	11	0.00249	0.0497
brown	320	161	GO_CC	GO:0005615	extracellular space	7	20	7.28e-05	0.00276
brown	320	161	GO_CC	GO:0005576	extracellular region	18	145	0.00122	0.0214
brown	320	161	GO_CC	GO:0140453	protein aggregate center	3	5	0.00169	0.0214
yellow	231	200	GO_BP	GO:0002181	cytoplasmic translation	35	59	1.77e-26	7.06e-25
yellow	231	200	GO_BP	GO:0006412	translation	32	55	7.31e-24	1.46e-22
yellow	231	200	GO_BP	GO:0000028	ribosomal small subunit assembly	4	7	0.000732	0.00976
yellow	231	200	GO_BP	GO:0006414	translational elongation	3	5	0.00318	0.0255
yellow	231	200	GO_BP	GO:0009052	pentose-phosphate shunt, non-oxidative branch	3	5	0.00318	0.0255
yellow	231	200	GO_BP	GO:0006094	gluconeogenesis	4	11	0.0055	0.0345
yellow	231	200	GO_BP	GO:0002182	cytoplasmic translational elongation	3	6	0.00603	0.0345
yellow	231	200	GO_MF	GO:0003735	structural constituent of ribosome	64	98	3.63e-53	1.31e-51
yellow	231	200	GO_MF	GO:0003723	RNA binding	28	168	1.08e-05	0.000194
yellow	231	200	GO_MF	GO:0019843	rRNA binding	7	18	0.000134	0.00161
yellow	231	200	GO_MF	GO:0003746	translation elongation factor activity	5	11	0.000561	0.00505
yellow	231	200	GO_CC	GO:0022627	cytosolic small ribosomal subunit	28	29	3.06e-32	1.28e-30
yellow	231	200	GO_CC	GO:0022625	cytosolic large ribosomal subunit	32	42	1.27e-29	2.66e-28
yellow	231	200	GO_CC	GO:0005829	cytosol	78	696	2.55e-06	3.57e-05
yellow	231	200	GO_CC	GO:0030684	preribosome	8	16	4.46e-06	4.68e-05
yellow	231	200	GO_CC	GO:0005840	ribosome	7	13	9.85e-06	8.27e-05
yellow	231	200	GO_CC	GO:0022626	cytosolic ribosome	5	9	0.000172	0.00121
yellow	231	200	GO_CC	GO:0045259	proton-transporting ATP synthase complex	4	10	0.0037	0.0222
yellow	231	200	KEGG	map00620	Pyruvate metabolism	8	23	0.00011	0.0017
yellow	231	200	KEGG	map00010	Glycolysis / Gluconeogenesis	7	19	0.0002	0.0017
yellow	231	200	KEGG	map01110	Biosynthesis of secondary metabolites	18	110	0.000572	0.00324
yellow	231	200	KEGG	map00710	Carbon fixation by Calvin cycle	5	13	0.00139	0.0059
yellow	231	200	KEGG	map01120	Microbial metabolism in diverse environments	12	71	0.00365	0.0105
yellow	231	200	KEGG	map00720	Other carbon fixation pathways	4	10	0.0037	0.0105
yellow	231	200	KEGG	map00680	Methane metabolism	4	12	0.0078	0.0189
yellow	231	200	KEGG	map00630	Glyoxylate and dicarboxylate metabolism	3	7	0.01	0.0201
yellow	231	200	KEGG	map00230	Purine metabolism	4	13	0.0106	0.0201
yellow	231	200	KEGG	map00051	Fructose and mannose metabolism	3	8	0.0152	0.0258
green	218	125	GO_BP	GO:0034975	protein folding in endoplasmic reticulum	4	7	0.000117	0.00446
green	218	125	GO_BP	GO:0007030	Golgi organization	4	10	0.000634	0.012
red	190	111	GO_CC	GO:0000324	fungal-type vacuole	7	36	0.000398	0.0112
red	190	111	GO_CC	GO:0016282	eukaryotic 43S preinitiation complex	4	16	0.00289	0.027
red	190	111	GO_CC	GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e	3	8	0.0029	0.027
red	190	111	GO_CC	GO:0033290	eukaryotic 48S preinitiation complex	4	18	0.00458	0.032
black	178	109	KEGG	map00280	Valine, leucine and isoleucine degradation	3	8	0.00275	0.00802
black	178	109	KEGG	map00770	Pantothenate and CoA biosynthesis	3	9	0.00401	0.00802
pink	163	98	GO_BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	8	47	0.000167	0.007
pink	163	98	GO_BP	GO:0072583	clathrin-dependent endocytosis	3	8	0.00202	0.0413
pink	163	98	GO_BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	2	3	0.00352	0.0413
pink	163	98	GO_BP	GO:0006914	autophagy	3	10	0.00412	0.0413
pink	163	98	GO_BP	GO:0006896	Golgi to vacuole transport	3	11	0.00552	0.0413
pink	163	98	GO_BP	GO:0009733	response to auxin	2	4	0.00689	0.0413
pink	163	98	GO_BP	GO:0043248	proteasome assembly	2	4	0.00689	0.0413
pink	163	98	GO_BP	GO:0006886	intracellular protein transport	7	69	0.00923	0.0485
pink	163	98	GO_MF	GO:0030515	snoRNA binding	3	6	0.00076	0.022
pink	163	98	GO_CC	GO:0000502	proteasome complex	5	12	3.02e-05	0.0016
pink	163	98	GO_CC	GO:0005905	clathrin-coated pit	3	4	0.00016	0.00424
pink	163	98	GO_CC	GO:0030136	clathrin-coated vesicle	3	6	0.00076	0.0134
pink	163	98	GO_CC	GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	2	3	0.00352	0.0373
pink	163	98	GO_CC	GO:0097225	sperm midpiece	2	3	0.00352	0.0373
pink	163	98	GO_CC	GO:0001405	PAM complex, Tim23 associated import motor	2	4	0.00689	0.046
pink	163	98	GO_CC	GO:0034515	proteasome storage granule	2	4	0.00689	0.046
pink	163	98	GO_CC	GO:0005856	cytoskeleton	4	24	0.00861	0.046
pink	163	98	GO_CC	GO:0005684	U2-type spliceosomal complex	3	13	0.0091	0.046
pink	163	98	GO_CC	GO:0005929	cilium	2	5	0.0112	0.046
pink	163	98	GO_CC	GO:0012507	ER to Golgi transport vesicle membrane	2	5	0.0112	0.046
pink	163	98	GO_CC	GO:0030121	AP-1 adaptor complex	2	5	0.0112	0.046
pink	163	98	GO_CC	GO:0031201	SNARE complex	3	14	0.0113	0.046
magenta	157	104	GO_BP	GO:0022904	respiratory electron transport chain	4	14	0.00133	0.041
magenta	157	104	GO_BP	GO:0038203	TORC2 signaling	2	3	0.00396	0.041
magenta	157	104	GO_BP	GO:0061157	mRNA destabilization	2	3	0.00396	0.041
