"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_10_sample_2B",-19.7347594871379,21.5278713111605,"Exudophore",6695
"GPNJ7M_11_sample_2C",4.02628057806963,3.97422972851072,"Exudophore",39696
"GPNJ7M_12_sample_2D",8.78775330881877,0.18895392129954,"Exudophore",30153
"GPNJ7M_13_sample_2E",-27.0382188143413,9.81385245248272,"Nodule",4410
"GPNJ7M_14_sample_2F",26.4045942475902,-22.1372876274342,"Nodule",26088
"GPNJ7M_15_sample_2G",23.7859531038901,-18.7132119992327,"Nodule",24994
"GPNJ7M_16_sample_2H",28.3657721320769,-18.4373688672176,"Nodule",786990
"GPNJ7M_1_sample_1A",1.93800534453832,15.495892089503,"Exuding.mycelium",272245
"GPNJ7M_2_sample_1B",22.3940129563204,-23.6007744688674,"Exuding.mycelium",12366
"GPNJ7M_3_sample_1C",-64.4336276921719,-44.2818917570365,"Exuding.mycelium",1594
"GPNJ7M_4_sample_1D",1.28504787433816,5.2176624721962,"Exuding.mycelium",16705
"GPNJ7M_5_sample_1E",0.0692338074862147,13.8456293861187,"Fuzzy.mycelium",21107
"GPNJ7M_6_sample_1F",-1.15954428149707,11.737129871134,"Fuzzy.mycelium",26907
"GPNJ7M_7_sample_1G",5.5773727224023,13.7544593767943,"Fuzzy.mycelium",116582
"GPNJ7M_8_sample_1H",2.84502366436611,13.422758008189,"Fuzzy.mycelium",47400
"GPNJ7M_9_sample_2A",-13.1128994647489,18.1920961023997,"Exudophore",8107
