sample,well,tissue,raw,rRNA,mRNA,det1,det10,pct
GPNJ7M_1_sample_1A,1A,Exuding mycelium,8423109,701579,469981,9205,6017,5.579661856447542
GPNJ7M_2_sample_1B,1B,Exuding mycelium,5902765,459570,19365,4435,354,0.3280665925206238
GPNJ7M_3_sample_1C,1C,Exuding mycelium,2770639,64744,2620,1474,19,0.09456302318706984
GPNJ7M_4_sample_1D,1D,Exuding mycelium,5770952,646755,29276,5253,546,0.507299315606853
GPNJ7M_9_sample_2A,2A,Exudophore,2941102,145479,13447,3671,239,0.45720957654647815
GPNJ7M_10_sample_2B,2B,Exudophore,3412844,99368,10944,3336,164,0.3206709711900104
GPNJ7M_11_sample_2C,2C,Exudophore,4028384,143150,66739,6597,1485,1.6567189225257573
GPNJ7M_12_sample_2D,2D,Exudophore,2620662,168385,46606,5865,998,1.7784056089644524
GPNJ7M_5_sample_1E,1E,Fuzzy mycelium,13369308,1032480,35940,5707,704,0.26882468411977645
GPNJ7M_6_sample_1F,1F,Fuzzy mycelium,5289692,330615,46085,6328,1034,0.8712227479407119
GPNJ7M_7_sample_1G,1G,Fuzzy mycelium,6274968,714848,224213,8753,4507,3.5731337594072192
GPNJ7M_8_sample_1H,1H,Fuzzy mycelium,5610507,887407,81814,7049,1698,1.4582282848947519
GPNJ7M_13_sample_2E,2E,Nodule,2431986,118075,7062,2672,109,0.29037996106885483
GPNJ7M_14_sample_2F,2F,Nodule,7338750,588323,41959,5930,827,0.5717458695281894
GPNJ7M_15_sample_2G,2G,Nodule,3473216,531658,40253,6087,813,1.1589546978938252
GPNJ7M_16_sample_2H,2H,Nodule,12771859,969538,1339504,9778,7512,10.487932884320129
