# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "0" "-a" "refs/BOM_ss5/mitogenome.gtf" "-o" "results/mito/mito_counts.txt" "bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam" "bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam" "bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam" "bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam" "bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam" "bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam" "bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam" "bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam" "bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam" "bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam" "bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam" "bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam" "bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam" "bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam" "bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam" "bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam	bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam	bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam	bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam	bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam	bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam	bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam	bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam	bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam	bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam	bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam	bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam	bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam	bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam	bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam	bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam
tRNA_1	CM148777.1	1414	1484	-	71	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
tRNA_2	CM148777.1	1526	1600	-	75	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
tRNA_3	CM148777.1	3304	3375	-	72	0	0	0	0	0	12	1	0	0	0	0	0	0	6	2	4
rRNA_5	CM148777.1	5890	6299	+	410	2098	17404	13818	6885	42558	7995	64727	73618	26870	2655	33254	63120	42918	42775	25490	3377
tRNA_7	CM148777.1	8534	8606	+	73	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0
tRNA_8	CM148777.1	8866	8950	+	85	0	4	3	0	0	0	17	0	2	0	0	1	2	2	6	3
tRNA_9	CM148777.1	9207	9279	+	73	0	15	13	6	5	2	32	4	3	0	0	0	4	10	8	6
tRNA_10	CM148777.1	9354	9425	+	72	5	84	30	1	5	16	69	30	4	0	2	15	12	78	16	3
tRNA_11	CM148777.1	9670	9751	+	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS_12	CM148777.1	10155	11573	+	1419	0	21	0	0	14	0	45	16	0	0	0	0	0	8	11	2
CDS_14	CM148777.1	12094	13554	+	1461	20	563	181	4	113	64	721	335	54	1	5	44	63	401	170	8
CDS_15	CM148777.1	14129	15061	+	933	0	50	15	0	7	13	18	20	7	0	0	27	3	33	2	0
CDS_16	CM148777.1	15080	16336	+	1257	2	193	84	5	49	1	105	52	8	3	2	10	39	24	37	12
CDS_17	CM148777.1	16296	17366	+	1071	0	7	16	0	2	0	1	29	0	0	0	0	5	13	9	16
CDS_18	CM148777.1	17676	18734	+	1059	3	5	8	0	0	3	22	0	1	0	0	0	3	4	0	0
CDS_19	CM148777.1	19194	20201	+	1008	0	27	25	7	22	23	113	21	30	0	0	12	40	17	7	0
CDS_21	CM148777.1	21341	22843	+	1503	13	973	611	16	471	206	2363	544	119	6	20	67	118	544	230	9
CDS_23	CM148777.1	24734	25378	+	645	0	3	4	0	0	1	18	1	0	0	1	0	6	16	3	0
tRNA_24	CM148777.1	26479	26551	+	73	0	0	0	0	0	0	1	0	0	5	0	0	0	2	0	0
tRNA_25	CM148777.1	26626	26698	+	73	0	0	4	0	0	1	6	2	0	0	0	0	0	0	0	0
tRNA_26	CM148777.1	27315	27386	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
