CM148777.1_2	sp|P03877|SCE3_YEAST	39.7	484	2.10e-101	312	sp|P03877|SCE3_YEAST Intron-encoded DNA endonuclease aI3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AI3 PE=1 SV=3
CM148777.1_2	sp|Q0H8Y0|AI4_MYCMD	33.0	558	6.79e-52	186	sp|Q0H8Y0|AI4_MYCMD Probable intron-encoded endonuclease aI4 OS=Mycosarcoma maydis OX=5270 GN=aI4 PE=3 SV=2
CM148777.1_2	sp|Q0H8Y4|COX1_MYCMD	81.7	82	4.52e-33	134	sp|Q0H8Y4|COX1_MYCMD Cytochrome c oxidase subunit 1 OS=Mycosarcoma maydis OX=5270 GN=COX1 PE=3 SV=1
CM148777.1_3	sp|Q0H8Y1|AI5_MYCMD	53.9	477	9.35e-162	471	sp|Q0H8Y1|AI5_MYCMD Probable intron-encoded endonuclease aI5 OS=Mycosarcoma maydis OX=5270 GN=aI5 PE=3 SV=2
CM148777.1_3	sp|P03878|SCE2_YEAST	40.7	477	8.48e-91	290	sp|P03878|SCE2_YEAST Intron-encoded DNA endonuclease aI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AI4 PE=1 SV=3
CM148777.1_3	sp|Q0H8Y4|COX1_MYCMD	87.2	156	4.09e-87	280	sp|Q0H8Y4|COX1_MYCMD Cytochrome c oxidase subunit 1 OS=Mycosarcoma maydis OX=5270 GN=COX1 PE=3 SV=1
CM148777.1_4	sp|P03878|SCE2_YEAST	44.8	317	8.66e-77	247	sp|P03878|SCE2_YEAST Intron-encoded DNA endonuclease aI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AI4 PE=1 SV=3
CM148777.1_4	sp|P03879|MBI4_YEAST	53.4	232	1.11e-74	244	sp|P03879|MBI4_YEAST Intron-encoded RNA maturase bI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BI4 PE=1 SV=2
CM148777.1_4	sp|A9RAH7|AI2_DEBHA	46.6	262	1.46e-70	233	sp|A9RAH7|AI2_DEBHA Probable intron-encoded endonuclease aI2 OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=aI2 PE=3 SV=1
CM148777.1_5	sp|Q0H8Y3|AI8_MYCMD	44.4	178	1.48e-32	133	sp|Q0H8Y3|AI8_MYCMD Probable intron-encoded endonuclease aI8 OS=Mycosarcoma maydis OX=5270 GN=aI8 PE=3 SV=2
