orf,genomes,libs,reads,in_rrna
CM148777.1_50,5,16,14070,1
CM148777.1_27,10,12,584,0
CM148777.1_14,10,11,524,0
CM148777.1_33,6,11,376,0
CM148777.1_32,5,10,254,0
CM148777.1_44,9,8,218,0
CM148777.1_22,4,6,114,0
CM148777.1_43,8,6,106,0
CM148777.1_20,7,5,104,1
CM148777.1_30,9,5,100,0
CM148777.1_49,1,5,65,0
CM148777.1_21,9,4,60,1
CM148777.1_51,6,7,58,1
CM148777.1_1,5,7,56,1
CM148777.1_11,6,3,30,0
CM148777.1_37,9,3,29,1
CM148777.1_31,3,0,13,0
CM148777.1_28,7,1,5,0
CM148777.1_26,7,0,0,0
CM148777.1_29,2,0,0,0
