"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_10_sample_2B",-25.7788517214406,-26.3735208522168,"Exudophore",108435
"GPNJ7M_11_sample_2C",14.1536682352395,-5.81641103066285,"Exudophore",198511
"GPNJ7M_12_sample_2D",13.417854594639,1.14857846709106,"Exudophore",207635
"GPNJ7M_13_sample_2E",-39.0175137487766,-18.6259193662618,"Nodule",123886
"GPNJ7M_14_sample_2F",25.7205851126116,28.0898475176842,"Nodule",621663
"GPNJ7M_15_sample_2G",23.2957308038081,23.0269356178087,"Nodule",563678
"GPNJ7M_16_sample_2H",31.6406807987711,20.4020711851334,"Nodule",1992454
"GPNJ7M_1_sample_1A",8.76278967521653,-17.2318399738685,"Exuding.mycelium",1070952
"GPNJ7M_2_sample_1B",14.1871368496927,32.4563218625408,"Exuding.mycelium",475470
"GPNJ7M_3_sample_1C",-78.3937382617874,44.8056645492351,"Exuding.mycelium",66904
"GPNJ7M_4_sample_1D",0.497900949877568,-5.79416627509598,"Exuding.mycelium",671197
"GPNJ7M_5_sample_1E",2.61615071304801,-12.8479826646922,"Fuzzy.mycelium",1062696
"GPNJ7M_6_sample_1F",2.81152115834644,-13.03915251563,"Fuzzy.mycelium",367739
"GPNJ7M_7_sample_1G",13.523238914607,-14.0237475321043,"Fuzzy.mycelium",889015
"GPNJ7M_8_sample_1H",6.67358599513055,-13.8956647946565,"Fuzzy.mycelium",955044
"GPNJ7M_9_sample_2A",-14.1107400689835,-22.2810141943041,"Exudophore",156445
