# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "14" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/refs/BOM_ss5/BOM_ss5_final.gtf" "-o" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/counts/counts_BOM_ss5_raw.txt" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam
AAD021_012617	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	12;773;1117;1202;1571	710;1066;1150;1510;1604	-;-;-;-;-	1370	1	1	0	0	1	2	0	2	3	0	0	0	0	0	0	0
AAD021_012618	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	4017;4686;4855;4951;5934;6185;6685;7433;8067	4633;4798;4897;5861;6130;6632;7379;8014;8131	-;-;-;-;-;-;-;-;-	3671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012619	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	9112;9552;9982;10240;10463;10992;11122;11198;11619;11860;12101;12356;12423;12630;12764	9403;9925;10187;10409;10935;11061;11147;11560;11801;12047;12296;12366;12569;12702;12915	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012620	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	12909;13305;13475;13685	13199;13415;13628;13892	-;-;-;-	764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012621	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	13942;14951;15248;15468	14873;15184;15413;15662	-;-;-;-	1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012622	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	15895;15996;17458	15943;17406;19027	+;+;+	3030	0	4	1	0	0	0	43	22	0	0	0	0	1	5	5	0
AAD021_012623	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	18873;19418;19757;20633;20836;21050;21685;21805;21968;22089	19369;19703;20587;20788;21000;21628;21748;21915;22030;22276	-;-;-;-;-;-;-;-;-;-	2940	0	3	0	0	0	0	44	28	0	0	0	0	2	16	3	1
AAD021_012624	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	23070;23151;23318;23426	23105;23266;23373;24443	+;+;+;+	1226	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AAD021_012625	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	24682;24911;25140;25278;25550;25702;25804;26257;26383	24755;25087;25226;25484;25642;25740;26202;26328;27059	+;+;+;+;+;+;+;+;+	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012626	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	27109;27277;27484;27598;27852;28108;28213;28536;28664	27217;27428;27544;27681;28050;28159;28478;28605;28979	+;+;+;+;+;+;+;+;+	1309	3	0	0	0	0	0	47	15	0	0	0	0	0	0	6	0
AAD021_012627	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	28785;29139;29330	29081;29279;29417	-;-;-	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012628	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	29537;29609;29732;30040;30322;31130	29558;29672;29969;30247;30509;31682	+;+;+;+;+;+	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012629	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	31732;32326;32451;32824	32274;32397;32759;33576	+;+;+;+	1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
