# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "14" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/refs/PC9.15/PC9.15_final.gtf" "-o" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/counts/counts_raw.txt" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_10_sample_2B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_11_sample_2C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_12_sample_2D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_13_sample_2E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_14_sample_2F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_15_sample_2G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_16_sample_2H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_1_sample_1A.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_2_sample_1B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_3_sample_1C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_4_sample_1D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_5_sample_1E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_6_sample_1F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_7_sample_1G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_8_sample_1H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_10_sample_2B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_11_sample_2C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_12_sample_2D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_13_sample_2E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_14_sample_2F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_15_sample_2G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_16_sample_2H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_1_sample_1A.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_2_sample_1B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_3_sample_1C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_4_sample_1D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_5_sample_1E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_6_sample_1F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_7_sample_1G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_8_sample_1H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam/GPNJ7M_9_sample_2A.primary.bam
PTI98_002181	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	1;289;738;996;1163	230;684;943;1098;1270	-;-;-;-;-	1043	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0
PTI98_002182	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	4307;5086;5470;5735;5876;6295	5035;5417;5685;5821;6247;6399	-;-;-;-;-;-	1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002183	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	6702;7586;7825;8364;8449	7536;7775;8281;8395;9342	+;+;+;+;+	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002184	CM057206.1	9165	10054	-	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002185	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	16662;17688;18724;18982;19147	17639;18670;18929;19082;19163	-;-;-;-;-	2285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002186	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	22292;23071;23455;23720;23861;24280	23020;23402;23670;23806;24232;24384	-;-;-;-;-;-	1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002187	CM057206.1;CM057206.1;CM057206.1;CM057206.1	24501;25585;25804;26427	25532;25754;26373;27320	+;+;+;+	2666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002188	CM057206.1	27139	28028	-	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002189	CM057206.1;CM057206.1;CM057206.1	31049;32959;34984	32911;34932;35207	-;-;-	4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002190	CM057206.1;CM057206.1;CM057206.1;CM057206.1	35257;36391;36649;36814	36336;36596;36749;36830	-;-;-;-	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002191	CM057206.1;CM057206.1	39470;40256	40198;40560	-;-	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002192	CM057206.1;CM057206.1	41802;42417	42361;42587	-;-	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002193	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	46425;46425;46839;46839;46923;46923;47159;47159;47489;47489;47660;47660;47898;47898;48101;48260;48260;48457;48457	46781;46781;46876;46876;47111;47111;47423;47423;47606;47606;47829;47829;48045;48209;48209;48403;48403;49174;49174	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002194	CM057206.1;CM057206.1;CM057206.1	51015;51191;51306	51133;51254;51967	+;+;+	845	0	0	0	0	0	0	41	0	1	0	0	0	0	0	7	0
PTI98_002195	CM057206.1;CM057206.1	54899;57348	57202;57678	-;-	2635	5	9	29	0	2	0	36	101	0	0	0	6	5	39	42	0
PTI98_002196	CM057206.1;CM057206.1	57692;60561	60407;60601	-;-	2757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002197	CM057206.1	62952	63808	+	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002198	CM057206.1;CM057206.1	74052;76092	75870;76152	-;-	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTI98_002199	CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1;CM057206.1	77599;77758;78076;78225;78501;78680;78977;79249	77703;78027;78172;78452;78627;78922;79195;80233	+;+;+;+;+;+;+;+	2274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
