"sample","mrna_counts","tissue","flagged_low"
"GPNJ7M_10_sample_2B",10976,"Exudophore",TRUE
"GPNJ7M_11_sample_2C",67861,"Exudophore",FALSE
"GPNJ7M_12_sample_2D",46965,"Exudophore",FALSE
"GPNJ7M_13_sample_2E",7118,"Nodule",TRUE
"GPNJ7M_14_sample_2F",42596,"Nodule",FALSE
"GPNJ7M_15_sample_2G",40519,"Nodule",FALSE
"GPNJ7M_16_sample_2H",1344373,"Nodule",FALSE
"GPNJ7M_1_sample_1A",471713,"Exuding.mycelium",FALSE
"GPNJ7M_2_sample_1B",19762,"Exuding.mycelium",FALSE
"GPNJ7M_3_sample_1C",2662,"Exuding.mycelium",TRUE
"GPNJ7M_4_sample_1D",29810,"Exuding.mycelium",FALSE
"GPNJ7M_5_sample_1E",36872,"Fuzzy.mycelium",FALSE
"GPNJ7M_6_sample_1F",46661,"Fuzzy.mycelium",FALSE
"GPNJ7M_7_sample_1G",226100,"Fuzzy.mycelium",FALSE
"GPNJ7M_8_sample_1H",82749,"Fuzzy.mycelium",FALSE
"GPNJ7M_9_sample_2A",13480,"Exudophore",TRUE
