"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_11_sample_2C",-25.4397114883839,35.0814954826765,"Exudophore",206998
"GPNJ7M_12_sample_2D",-14.4756600555477,45.5245998653541,"Exudophore",212799
"GPNJ7M_14_sample_2F",52.6509940654879,26.8793092721344,"Nodule",627742
"GPNJ7M_15_sample_2G",41.8937978771639,3.10693935570321,"Nodule",568957
"GPNJ7M_16_sample_2H",35.6789258572677,12.3698470847254,"Nodule",2202468
"GPNJ7M_1_sample_1A",-31.0000383046316,-1.70188512269667,"Exuding.mycelium",1137225
"GPNJ7M_2_sample_1B",70.1067466799395,-32.8795052150465,"Exuding.mycelium",477892
"GPNJ7M_4_sample_1D",-14.4623295272854,-49.1090754948051,"Exuding.mycelium",674534
"GPNJ7M_5_sample_1E",-27.752821592917,-25.4204758279982,"Fuzzy.mycelium",1066946
"GPNJ7M_6_sample_1F",-31.4838646300118,-6.37040541056568,"Fuzzy.mycelium",373731
"GPNJ7M_7_sample_1G",-28.8243058826081,0.210966740889616,"Fuzzy.mycelium",921881
"GPNJ7M_8_sample_1H",-26.8917329984734,-7.691810730371,"Fuzzy.mycelium",964763
