,Exuding_mycelium,Fuzzy_mycelium,Exudophore,Nodule,baseline,abs_diff,name
rxn31731,0.0,0.0,14.269369351059915,,0.0,14.269369351059915,R08558_c
rxn33850,-8.1988123986044,0.0,-9.28007936817249,-0.6985005976677392,-4.0994061993022,5.180673168870291,Pyruvate Carboxylase
rxn30646,5.712846689161097,-1.1368683772161605e-13,5.338540281690253,0.8366655510526471,2.8564233445804916,2.482116937109762,Complex_V
BIOMASS_fungal,97.4888513508306,97.73076797644376,99.78579965777055,99.78579966681096,97.60980966363718,2.1759899941333742,Coarse fungal biomass (uncurated)
EX_cpd00018_e,8.29630124995682,4.108895728901349,8.082649772278351,8.781150370678606,6.202598489429084,1.8800512828492675,AMP exchange
rxn10443,-2.4859657094435192,,-3.9415390864820052,,-2.4859657094435192,1.455573377038486,H+-exporting ATPase
rxn00250,8.1988123986044,,9.28007936817249,0.6985005976675827,8.1988123986044,1.081266969568091,Pyruvate:carbon-dioxide ligase (ADP-forming)
rxn42058,3.953172922276565,1.9567170964750815,3.991431986310829,,2.954945009375823,1.0364869769350058,Cotransport of L-glycine and H+
rxn05818,-0.9748885135083059,-1.9546153595290567,-1.99571599315533,-0.9978579966681096,-1.4647519365186814,0.5309640566366487,Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-direct
rxn09295,,-1.1475483723681466,-1.4967869948669477,,-1.1475483723681466,0.3492386224988011,NAD(P) transhydrogenase (periplasm)
EX_cpd00023_e,-8.676507770223218,-8.79576911787991,-8.9807219691988,-8.980721970011823,-8.736138444051564,0.24458352514723636,L-Glutamate exchange
EX_cpd00132_e,-3.694827466194829,-3.8030930032980796,-3.9914319863108174,-3.991431986672479,-3.7489602347464546,0.24247175156436285,L-Asparagine exchange
rxn13229,-3.694827466194738,-3.8030930032983292,-3.991431986310829,-3.9914319866725236,-3.7489602347465336,0.24247175156429535,L-asparagine transport in via proton antiport (vacuolar)
EX_cpd00107_e,-7.7991081080665685,-7.818461438115481,-7.982863972621686,-7.982863973344569,-7.808784773091025,0.1740791995306612,L-Leucine exchange
EX_cpd00041_e,-4.864693682403994,-4.780400683062094,-4.989289982888302,-4.989289983340578,-4.822547182733044,0.16674280015525778,L-Aspartate exchange
rxn08170,-4.864693682404152,-4.780400683062169,-4.989289982888295,-4.989289983340541,-4.82254718273316,0.16674280015513432,L-aspartate transport via diffusion (extracellular to periplasm)
rxn44043,-5.849331081049854,-5.863846078586619,-5.987147979466272,-5.987147980008729,-5.856588579818236,0.13055939964803542,L-valine:proton antiport
EX_cpd00156_e,-5.849331081049828,-5.863846078586548,-5.987147979466165,-5.98714798000876,-5.856588579818188,0.1305593996479777,L-Valine exchange
rxn08856,-5.8493310810505665,-5.8638460785866755,-5.987147979465817,,-5.856588579818621,0.1305593996471961,L-lysine transport via diffusion (extracellular to periplasm)
EX_cpd00039_e,-5.849331081050568,-5.86384607858674,-5.98714797946567,-5.9871479800086425,-5.856588579818654,0.1305593996470158,L-Lysine exchange
rxn43863,4.338253885111385,4.39788455893995,4.49036098459942,4.49036098500585,4.368069222025667,0.1222917625737523,Cotransport of L-glutamate and H+
EX_cpd00161_e,-4.874442567541662,-4.886538398820942,-4.989289982888527,-4.989289983340549,-4.880490483181302,0.10879949970722524,L-Threonine exchange
EX_cpd00054_e,-4.874442567540392,-4.886538398821932,-4.989289982888218,-4.9892899833396624,-4.880490483181162,0.10879949970705649,L-Serine exchange
rxn13321,-4.874442567541564,-4.886538398822154,-4.989289982888636,-4.989289983340541,-4.880490483181859,0.10879949970677671,L-isoleucine transport in via proton antiport (vacuolar)
EX_cpd00322_e,-4.874442567541463,-4.886538398822122,-4.9892899828885495,-4.989289983340578,-4.880490483181792,0.10879949970675717,L-Isoleucine exchange
rxn08154,-4.874442567541564,-4.886538398822154,-4.989289982888465,-4.989289983338931,-4.880490483181859,0.10879949970660618,L-arginine transport out via proton antiport (cytoplasm to periplasm)
EX_cpd00051_e,-4.874442567541463,-4.886538398822122,-4.989289982888383,-4.989289983339177,-4.880490483181792,0.10879949970659109,L-Arginine exchange
EX_cpd00035_e,-8.988472094551362,-8.795769117879885,-8.980721969199186,-8.980721970013064,-8.892120606215624,0.08860136298356203,L-Alanine exchange
EX_cpd00129_e,-3.899554054032825,-3.9092307190562328,-3.9914319863106495,-3.9914319866718335,-3.904392386544529,0.08703959976612063,L-Proline exchange
