reaction,name,n_genes,Exuding_mycelium,Exudophore,Fuzzy_mycelium,Nodule,max_other,ratio
rxn22055,separase,1,0.16,1.64,0.16,0.2,0.2,8.33
rxn45300,rxn45300,1,0.16,1.64,0.16,0.2,0.2,8.33
rxn04867,linoleate:oxygen (8R)-oxidoreductase,2,0.16,2.21,0.32,0.07,0.32,6.9
rxn16743,"(8R,9Z,12Z)-8-hydroperoxyoctadeca-9,12-dienoate hydroxymutase [(5S,8R,",2,0.16,2.21,0.32,0.07,0.32,6.9
rxn06410,Acetyl-CoA:histone acetyltransferase,1,1.4,11.01,2.17,1.29,2.17,5.07
rxn11984,Acetyl-CoA:histone acetyltransferase,1,1.4,11.01,2.17,1.29,2.17,5.07
rxn19897,histone acetyltransferase,1,1.4,11.01,2.17,1.29,2.17,5.07
rxn41832,rxn41832,1,1.4,11.01,2.17,1.29,2.17,5.07
rxn06432,L-Arginine:tRNA(Arg) ligase (AMP-forming),2,10.2,45.44,7.45,5.3,10.2,4.45
rxn19182,arginine-tRNA ligase,2,10.2,45.44,7.45,5.3,10.2,4.45
rxn41927,rxn41927,2,10.2,45.44,7.45,5.3,10.2,4.45
rxn01416,thiosulfate:cyanide sulfurtranserase,1,4.27,21.26,5.54,4.13,5.54,3.84
rxn00149,pyruvaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn00196,"2,5-dioxopentanoate:NADP+ 5-oxidoreductase",6,23.5,175.58,15.92,46.93,46.93,3.74
rxn00506,Acetaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn00507,Acetaldehyde:NADP+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn00653,3-aminopropanal:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn01286,D-Glyceraldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn01459,4-Aminobutyraldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn01851,4-aminobutanal:NAD+ 1-oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn01937,Indole-3-acetaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02106,2-Propyn-1-al:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02122,D-Glucuronolactone:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02350,4-Trimethylammoniobutanal:NAD+ 1-oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02364,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02729,(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02853,Imidazole acetaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03106,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al:NAD+ oxidoreductase",6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03335,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03343,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03354,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03423,N4-Acetylaminobutanal:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03468,R05119,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03552,R05237,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03553,ADPglucose:sn-glycerol-3-phosphate 2-beta-D-glucosyltransferase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn03598,Chloroacetaldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn04234,Aldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn05853,Aldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn05879,aldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn06890,R05238,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn09975,1-octanal dehydrogenase (NAD+),6,23.5,175.58,15.92,46.93,46.93,3.74
rxn12234,octanal dehydrogenase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn15053,Aldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn19111,RXN-11619.c,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn19121,CoA-independent aldehyde dehydrogenase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn23850,RXN-3443.c,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn23892,RXN-4142.c,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn24151,RXN-6382.c,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn24152,RXN-6382.c.metaexp.NADP_NADPH,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn25819,RXN-9758.c,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn31371,"aldehyde dehydrogenase, mitochondrial (ALDH3)",6,23.5,175.58,15.92,46.93,46.93,3.74
rxn31647,Aldehyde:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn32113,D-Glucuronolactone:NAD+ oxidoreductase,6,23.5,175.58,15.92,46.93,46.93,3.74
rxn36497,aldehyde dehydrogenase [NAD(P)+],6,23.5,175.58,15.92,46.93,46.93,3.74
rxn36647,aldehyde dehydrogenase [NAD(P)+],6,23.5,175.58,15.92,46.93,46.93,3.74
rxn36652,aldehyde dehydrogenase [NAD(P)+],6,23.5,175.58,15.92,46.93,46.93,3.74
rxn02160,L-Histidinol-phosphate phosphohydrolase,1,0.16,0.58,0.0,0.13,0.16,3.71
rxn34000,Histidinol Phosphatase,1,0.16,0.58,0.0,0.13,0.16,3.71
rxn07491,R07676,1,4.32,15.47,4.11,1.33,4.32,3.59
rxn00432,Methanol:oxygen oxidereductase,4,18.07,90.26,25.84,6.88,25.84,3.49
rxn05883,primary alcohol:oxygen oxidoreductase,4,18.07,90.26,25.84,6.88,25.84,3.49
rxn06378,"1-Phosphatidyl-1D-myo-inositol-4,5-bisphosphate inositoltrisphosphohyd",2,2.4,8.37,1.52,2.27,2.4,3.49
rxn17860,RXN-13333.c,2,2.4,8.37,1.52,2.27,2.4,3.49
