protein_id,mitocarta_rbh,mitocarta_target,identity,swissprot_mito
KAN1670688.1,0,,,1
KAN1670719.1,0,,,1
KAN1670721.1,1,NP_057128,38.1,1
KAN1670738.1,0,,,1
KAN1670774.1,0,,,1
KAN1670799.1,1,NP_001244292,28.5,1
KAN1670821.1,1,NP_056651,39.4,1
KAN1670852.1,1,NP_003162,34.0,1
KAN1670880.1,0,,,1
KAN1670901.1,0,,,1
KAN1670904.1,0,,,1
KAN1670929.1,1,NP_057111,36.8,1
KAN1670940.1,1,NP_037543,58.3,1
KAN1670942.1,1,NP_054861,38.5,0
KAN1670974.1,0,,,1
KAN1671005.1,1,NP_000628,54.1,1
KAN1671008.1,1,NP_003353,44.4,1
KAN1671010.1,0,,,1
KAN1671035.1,1,NP_000427,51.5,1
KAN1671049.1,1,NP_002444,42.3,0
KAN1671062.1,0,,,1
KAN1671070.1,1,NP_116119,30.5,0
KAN1671080.1,0,,,1
KAN1671094.1,1,NP_001192176,41.0,0
KAN1671101.1,1,NP_001035517,42.3,1
KAN1671108.1,1,NP_001116080,47.1,1
KAN1671111.1,1,NP_997401,53.4,0
KAN1671130.1,1,NP_689953,41.1,1
KAN1671142.1,1,NP_004426,38.8,1
KAN1671146.1,0,,,1
KAN1671171.1,1,NP_054894,33.5,1
KAN1671192.1,1,NP_060116,32.8,1
KAN1671196.1,0,,,1
KAN1671197.1,1,NP_002504,53.0,0
KAN1671201.1,1,NP_001157207,33.6,0
KAN1671206.1,0,,,1
KAN1671213.1,1,NP_064587,56.5,0
KAN1671243.1,1,NP_005872,32.3,0
KAN1671252.1,1,NP_783859,31.2,0
KAN1671272.1,1,NP_001177912,51.4,1
KAN1671283.1,0,,,1
KAN1671311.1,0,,,1
KAN1671317.1,1,NP_077728,33.5,1
KAN1671325.1,1,NP_065796,38.3,1
KAN1671331.1,1,NP_003680,43.4,0
KAN1671333.1,1,NP_066552,58.7,1
KAN1671360.1,0,,,1
KAN1671365.1,0,,,1
KAN1671367.1,1,NP_036475,51.7,1
KAN1671379.1,1,NP_997000,25.6,0
KAN1671380.1,1,NP_009139,45.0,0
KAN1671398.1,1,NP_002533,39.7,0
KAN1671401.1,1,NP_004319,49.4,1
KAN1671408.1,0,,,1
KAN1671419.1,0,,,1
KAN1671437.1,0,,,1
KAN1671476.1,1,NP_068746,51.8,1
KAN1671499.1,0,,,1
KAN1671502.1,1,NP_001677,81.0,1
KAN1671504.1,0,,,1
KAN1671510.1,1,NP_055177,39.9,1
KAN1671513.1,1,NP_066923,71.5,1
KAN1671518.1,1,NP_001099040,27.6,0
KAN1671521.1,1,NP_001163,44.8,0
KAN1671538.1,1,NP_002216,59.7,1
KAN1671545.1,1,NP_001269917,35.3,0
KAN1671554.1,1,NP_001191087,35.3,0
KAN1671557.1,1,NP_002147,56.9,1
KAN1671560.1,1,NP_060192,40.0,1
KAN1671581.1,0,,,1
KAN1671586.1,1,NP_006558,43.5,1
KAN1671587.1,0,,,1
KAN1671588.1,1,NP_056255,50.7,0
KAN1671595.1,0,,,1
KAN1671602.1,1,NP_644812,35.4,0
KAN1671617.1,1,NP_954697,45.4,0
KAN1671625.1,1,NP_067022,40.0,1
KAN1671633.1,1,NP_001159482,35.7,1
KAN1671646.1,1,NP_036450,38.4,1
KAN1671650.1,1,NP_004159,65.5,1
KAN1671656.1,0,,,1
KAN1671663.1,0,,,1
KAN1671664.1,0,,,1
KAN1671674.1,0,,,1
KAN1671675.1,1,NP_003670,43.9,1
KAN1671699.1,1,NP_001258978,29.5,0
KAN1671705.1,1,NP_722546,41.2,0
KAN1671719.1,0,,,1
KAN1671727.1,1,NP_689482,59.0,1
KAN1671733.1,1,NP_543022,52.2,0
KAN1671770.1,1,NP_000275,52.3,1
KAN1671771.1,0,,,1
KAN1671779.1,1,NP_060850,31.7,0
KAN1671782.1,1,NP_060476,37.6,0
KAN1671794.1,0,,,1
KAN1671808.1,0,,,1
KAN1671818.1,1,NP_001018114,42.0,1
KAN1671820.1,0,,,1
KAN1671822.1,1,NP_077733,35.2,1
KAN1671841.1,0,,,1
KAN1671859.1,1,NP_001026847,39.9,0
KAN1671870.1,1,NP_004960,34.8,0
KAN1671873.1,0,,,1
KAN1671890.1,0,,,1
KAN1671894.1,1,NP_000047,55.3,1
KAN1671915.1,1,NP_004854,44.0,0
KAN1671925.1,0,,,1
KAN1671929.1,0,,,1
KAN1671931.1,1,NP_001027535,42.1,1
KAN1671936.1,1,NP_060867,33.2,0
KAN1671939.1,1,NP_009193,33.6,0
KAN1671951.1,1,NP_958800,55.9,1
KAN1671960.1,0,,,1
KAN1671964.1,1,NP_005165,40.4,1
KAN1672052.1,1,NP_001188306,52.2,1
KAN1672067.1,1,NP_079426,46.2,0
KAN1672087.1,0,,,1
KAN1672114.1,1,NP_079114,32.3,0
KAN1672120.1,1,NP_056481,50.0,0
KAN1672164.1,1,NP_002159,64.6,1
KAN1672177.1,1,NP_597700,43.1,1
KAN1672178.1,1,NP_000182,47.8,0
KAN1672207.1,1,NP_055873,27.9,0
KAN1672217.1,1,NP_001268666,49.4,1
KAN1672228.1,1,NP_009034,72.6,1
KAN1672287.1,1,NP_001257609,27.6,1
KAN1672304.1,1,NP_115890,54.1,0
KAN1672377.1,1,NP_001186912,54.8,1
KAN1672412.1,0,,,1
KAN1674115.1,0,,,1
KAN1674177.1,0,,,1
KAN1674185.1,0,,,1
KAN1674209.1,0,,,1
KAN1674225.1,0,,,1
KAN1674238.1,1,NP_057419,23.8,0
KAN1674318.1,1,NP_001077083,36.9,1
KAN1674369.1,0,,,1
KAN1674379.1,1,NP_001909,32.7,1
KAN1674382.1,0,,,1
KAN1674406.1,1,NP_055153,34.8,1
KAN1674409.1,1,NP_056515,54.5,0
KAN1674429.1,1,NP_001076581,60.2,1
KAN1674468.1,1,NP_112202,53.1,1
KAN1674484.1,1,NP_006003,53.7,1
KAN1674496.1,1,NP_006321,42.2,0
KAN1674523.1,1,NP_002970,52.1,1
KAN1674527.1,0,,,1
KAN1674552.1,0,,,1
KAN1674560.1,1,NP_001138341,35.1,0
KAN1674568.1,1,NP_036272,40.4,1
KAN1674581.1,0,,,1
KAN1674594.1,0,,,1
KAN1674605.1,1,NP_001258757,33.1,1
KAN1674610.1,1,NP_005155,45.6,0
KAN1674625.1,1,NP_001019636,53.0,1
KAN1674637.1,0,,,1
KAN1674646.1,1,NP_005994,57.6,1
KAN1674671.1,1,NP_001128582,34.4,1
KAN1674683.1,0,,,1
KAN1674698.1,1,NP_003841,56.6,0
KAN1674701.1,1,NP_004542,56.1,1
KAN1674704.1,1,NP_009169,39.1,0
KAN1674720.1,1,NP_057161,52.6,0
KAN1674722.1,0,,,1
KAN1674731.1,1,NP_000135,48.3,1
KAN1674732.1,1,NP_001106678,40.4,1
KAN1674737.1,0,,,1
KAN1674748.1,1,NP_001181,47.4,1
KAN1674750.1,1,NP_002625,52.3,1
KAN1674752.1,1,NP_060500,36.5,0
KAN1674754.1,0,,,1
KAN1674758.1,0,,,1
KAN1674767.1,1,NP_004076,36.6,1
KAN1674773.1,0,,,1
KAN1674786.1,1,NP_001123291,43.8,1
KAN1674813.1,1,NP_689996,50.7,1
KAN1674817.1,0,,,1
KAN1674830.1,0,,,1
KAN1674835.1,1,NP_000134,65.8,1
KAN1674840.1,1,NP_006850,56.8,1
KAN1674842.1,1,NP_001922,49.3,1
KAN1674876.1,1,NP_004994,48.3,1
KAN1674890.1,1,NP_003312,56.9,1
KAN1674891.1,1,NP_004474,47.9,0
KAN1674896.1,0,,,1
KAN1674910.1,1,NP_002071,61.2,1
KAN1674915.1,1,NP_057100,37.7,1
KAN1674934.1,1,NP_067653,52.5,1
KAN1674950.1,0,,,1
KAN1674957.1,0,,,1
KAN1674961.1,1,NP_060626,25.8,0
KAN1674973.1,1,NP_004499,55.5,0
KAN1674976.1,1,NP_057182,52.3,1
KAN1674977.1,1,NP_002302,28.2,0
KAN1675011.1,0,,,1
KAN1675012.1,1,NP_001627,53.9,1
KAN1675038.1,0,,,1
KAN1675053.1,1,NP_536341,54.6,0
KAN1675054.1,1,NP_003840,66.6,1
KAN1675075.1,1,NP_005580,58.5,1
KAN1675083.1,1,NP_006787,60.6,1
KAN1675096.1,0,,,1
KAN1675114.1,1,NP_000378,48.6,1
KAN1675116.1,0,,,1
KAN1675150.1,0,,,1
KAN1675154.1,0,,,1
KAN1675166.1,0,,,1
KAN1675183.1,1,NP_060297,34.7,1
