CM148777.1_2	YP_003024028	63.2	76	1.50e-22	96.7	YP_003024028	GeneID:4512	MT-CO1
CM148777.1_5	YP_003024028	43.6	140	6.68e-23	97.1	YP_003024028	GeneID:4512	MT-CO1
CM148777.1_6	YP_003024028	57.1	35	5.77e-08	50.4	YP_003024028	GeneID:4512	MT-CO1
CM148777.1_7	YP_003024028	46.2	52	1.08e-10	58.9	YP_003024028	GeneID:4512	MT-CO1
CM148777.1_8	YP_003024028	49.5	101	1.54e-23	97.4	YP_003024028	GeneID:4512	MT-CO1
CM148777.1_9	YP_003024035	31.3	415	4.05e-60	201	YP_003024035	GeneID:4538	MT-ND4
CM148777.1_16	YP_003024026	41.3	322	2.90e-76	234	YP_003024026	GeneID:4535	MT-ND1
CM148777.1_18	YP_003024038	50.9	373	1.60e-138	397	YP_003024038	GeneID:4519	MT-CYB
CM148777.1_19	YP_003024029	48.0	225	4.15e-73	219	YP_003024029	GeneID:4513	MT-CO2
CM148777.1_23	YP_003024032	51.2	256	8.17e-95	277	YP_003024032	GeneID:4514	MT-CO3
CM148777.1_25	YP_003024036	39.4	421	1.65e-87	282	YP_003024036	GeneID:4540	MT-ND5
CM148777.1_25	YP_003024027	28.1	253	1.24e-08	53.5	YP_003024027	GeneID:4536	MT-ND2
CM148777.1_41	YP_003024027	23.8	328	3.31e-11	61.2	YP_003024027	GeneID:4536	MT-ND2
