KAN1670719.1	NP_060914	32.1	1.65e-27	112
KAN1670721.1	NP_057128	38.1	1.00e-47	159
KAN1670723.1	NP_001265394	21.8	3.15e-22	98.2
KAN1670738.1	NP_060914	35.5	2.24e-37	137
KAN1670755.1	NP_000405	31.7	5.76e-14	70.1
KAN1670760.1	NP_997401	30.2	7.86e-19	81.3
KAN1670799.1	NP_001244292	28.5	4.61e-63	219
KAN1670815.1	NP_066284	29.5	1.41e-21	88.2
KAN1670821.1	NP_056651	39.4	3.26e-63	199
KAN1670852.1	NP_003162	34.0	1.24e-83	278
KAN1670880.1	NP_597700	43.4	3.99e-131	386
KAN1670904.1	NP_004319	32.7	1.64e-51	179
KAN1670908.1	NP_001269222	28.9	3.43e-07	50.1
KAN1670929.1	NP_057111	36.8	1.15e-57	185
KAN1670940.1	NP_037543	58.3	1.90e-96	279
KAN1670942.1	NP_054861	38.5	3.03e-30	107
KAN1670962.1	NP_543022	33.0	9.09e-07	46.2
KAN1670967.1	NP_001275695	30.5	1.69e-08	51.6
KAN1670974.1	NP_001128496	40.5	7.29e-29	110
KAN1670996.1	NP_001265394	42.4	3.53e-184	539
KAN1671005.1	NP_000628	54.1	1.82e-162	466
KAN1671008.1	NP_003353	44.4	1.03e-59	190
KAN1671010.1	NP_919417	38.0	1.47e-91	286
KAN1671022.1	NP_003680	26.5	5.24e-17	77.4
KAN1671034.1	NP_003680	25.5	6.48e-12	62.0
KAN1671035.1	NP_000427	51.5	9.40e-168	481
KAN1671049.1	NP_002444	42.3	3.18e-124	385
KAN1671066.1	NP_001139443	35.9	1.59e-33	120
KAN1671069.1	NP_116119	26.1	7.47e-23	95.1
KAN1671070.1	NP_116119	30.5	7.00e-30	114
KAN1671094.1	NP_001192176	41.0	7.26e-138	417
KAN1671099.1	NP_116119	27.1	1.22e-24	100
KAN1671101.1	NP_001035517	42.3	7.11e-63	195
KAN1671108.1	NP_001116080	47.1	4.16e-46	150
KAN1671111.1	NP_997401	53.4	3.57e-112	331
KAN1671130.1	NP_689953	41.1	1.54e-62	198
KAN1671142.1	NP_004426	38.8	3.46e-46	155
KAN1671154.1	NP_002387	33.4	2.78e-104	323
KAN1671155.1	NP_001139443	30.6	1.90e-29	112
KAN1671162.1	NP_060867	29.7	1.03e-53	188
KAN1671171.1	NP_054894	33.5	1.08e-23	93.2
KAN1671192.1	NP_060116	32.8	1.22e-55	189
KAN1671197.1	NP_002504	53.0	1.38e-61	184
KAN1671201.1	NP_001157207	33.6	9.93e-114	381
KAN1671212.1	NP_001128582	28.2	2.26e-30	117
KAN1671213.1	NP_064587	56.5	9.78e-106	306
KAN1671224.1	NP_006787	38.0	2.62e-42	163
KAN1671238.1	NP_005754	36.3	1.50e-81	275
KAN1671243.1	NP_005872	32.3	1.98e-56	196
KAN1671252.1	NP_783859	31.2	1.65e-08	48.5
KAN1671268.1	NP_001275695	26.5	4.68e-11	60.5
KAN1671272.1	NP_001177912	51.4	1.35e-51	162
KAN1671300.1	NP_005680	26.7	8.36e-21	95.5
KAN1671301.1	NP_005680	28.2	4.44e-12	66.2
KAN1671310.1	NP_004125	46.8	1.16e-170	498
KAN1671317.1	NP_077728	33.5	4.97e-60	201
KAN1671325.1	NP_065796	38.3	6.89e-197	588
KAN1671331.1	NP_003680	43.4	2.49e-81	248
KAN1671333.1	NP_066552	58.7	5.68e-89	260
KAN1671360.1	NP_057366	36.4	2.23e-52	176
KAN1671367.1	NP_036475	51.7	0.0	946
KAN1671379.1	NP_997000	25.6	2.66e-18	83.6
KAN1671380.1	NP_009139	45.0	1.21e-52	173
KAN1671398.1	NP_002533	39.7	6.47e-61	196
KAN1671401.1	NP_004319	49.4	6.88e-133	386
KAN1671450.1	NP_001653	43.1	3.49e-30	105
KAN1671476.1	NP_068746	51.8	3.70e-202	577
KAN1671502.1	NP_001677	81.0	4.00e-268	737
KAN1671510.1	NP_055177	39.9	3.25e-75	238
KAN1671513.1	NP_066923	71.5	5.50e-216	600
KAN1671518.1	NP_001099040	27.6	1.45e-08	53.1
KAN1671521.1	NP_001163	44.8	3.81e-83	253
KAN1671538.1	NP_002216	59.7	2.61e-172	486
KAN1671540.1	NP_997401	33.2	8.92e-51	171
KAN1671545.1	NP_001269917	35.3	3.15e-23	87.8
KAN1671554.1	NP_001191087	35.3	8.93e-26	108
KAN1671557.1	NP_002147	56.9	1.21e-206	585
KAN1671559.1	NP_997401	30.1	3.92e-30	119
KAN1671560.1	NP_060192	40.0	1.63e-117	358
KAN1671586.1	NP_006558	43.5	6.86e-117	346
KAN1671588.1	NP_056255	50.7	9.47e-305	865
KAN1671595.1	NP_001240795	42.4	2.62e-98	309
KAN1671602.1	NP_644812	35.4	3.62e-40	142
KAN1671604.1	NP_060668	36.3	8.11e-13	65.5
KAN1671608.1	NP_001139443	31.8	1.16e-17	77.8
KAN1671617.1	NP_954697	45.4	1.44e-78	246
KAN1671625.1	NP_067022	40.0	9.93e-105	315
KAN1671631.1	NP_003680	40.5	4.44e-71	221
KAN1671633.1	NP_001159482	35.7	5.19e-26	101
KAN1671646.1	NP_036450	38.4	1.11e-89	291
KAN1671650.1	NP_004159	65.5	1.80e-304	839
KAN1671653.1	NP_004125	52.9	3.55e-192	555
KAN1671656.1	NP_004068	53.1	2.09e-168	479
