NP_001909	KAN1674379.1	32.9	1.02e-50	179
NP_115785	KAN1671540.1	29.8	1.04e-10	62.8
NP_002970	KAN1674523.1	52.1	8.02e-138	406
NP_001180528	KAN1674523.1	49.1	9.12e-125	372
NP_001180529	KAN1674523.1	44.6	1.40e-106	324
NP_001180546	KAN1674523.1	51.9	1.33e-114	343
NP_056193	KAN1674961.1	22.3	1.10e-37	156
NP_060626	KAN1674961.1	22.3	1.09e-37	156
NP_001095132	KAN1671870.1	28.5	9.21e-103	350
NP_002516	KAN1671870.1	28.6	4.78e-102	349
NP_001229290	KAN1671870.1	28.6	6.00e-103	349
NP_982289	KAN1671360.1	37.0	6.51e-49	168
NP_037542	KAN1671360.1	37.0	6.51e-49	168
NP_001005353	KAN1671360.1	37.0	6.51e-49	168
NP_001116146	KAN1674610.1	33.5	1.49e-28	112
NP_002849	KAN1674610.1	38.2	7.78e-150	450
NP_957715	KAN1670821.1	46.0	9.67e-35	123
NP_056651	KAN1670821.1	39.4	3.37e-61	196
NP_057611	KAN1678087.1	39.8	1.34e-78	248
NP_001005783	KAN1678087.1	39.8	1.34e-78	248
NP_079426	KAN1672067.1	46.4	2.05e-221	635
NP_001258824	KAN1672067.1	39.9	1.78e-175	515
NP_001258825	KAN1672067.1	36.5	9.09e-150	447
NP_056230	KAN1677749.1	64.8	1.03e-37	122
NP_001137146	KAN1677749.1	64.8	1.03e-37	122
NP_060592	KAN1687437.1	36.9	1.43e-100	321
NP_064632	KAN1688664.1	42.8	2.79e-103	327
NP_003670	KAN1671675.1	44.1	3.47e-54	183
NP_001164006	KAN1671663.1	27.0	3.34e-10	62.0
NP_001164007	KAN1671663.1	27.0	2.55e-10	62.0
NP_060658	KAN1671663.1	27.0	3.81e-10	62.0
NP_060668	KAN1692677.1	24.6	2.41e-22	99.8
NP_009193	KAN1671939.1	33.6	6.54e-26	98.2
NP_001116849	KAN1671939.1	33.6	6.54e-26	98.2
NP_115691	KAN1682780.1	40.0	9.39e-51	168
NP_079034	KAN1678533.1	33.9	3.92e-50	171
NP_997231	KAN1675298.1	36.7	1.49e-43	150
NP_002991	KAN1690159.1	69.1	9.60e-122	347
NP_003739	KAN1686847.1	47.8	1.12e-169	491
NP_733844	KAN1686847.1	47.8	1.12e-169	491
NP_001154976	KAN1686847.1	49.0	4.24e-164	474
NP_003680	KAN1671331.1	44.6	1.73e-78	243
NP_001191012	KAN1671931.1	50.8	9.92e-20	77.0
NP_001191011	KAN1671931.1	37.7	1.39e-09	48.1
NP_001027535	KAN1671931.1	50.8	1.59e-20	76.6
NP_001159531	KAN1672178.1	40.1	6.75e-67	209
NP_000182	KAN1672178.1	47.8	3.02e-96	287
NP_001019903	KAN1679073.1	41.6	1.22e-70	222
NP_057095	KAN1679073.1	41.1	3.44e-77	242
NP_001186128	KAN1670940.1	59.2	1.77e-83	248
NP_037543	KAN1670940.1	62.6	2.17e-91	268
NP_001616	KAN1670940.1	60.7	4.93e-92	270
NP_071403	KAN1671035.1	50.2	2.67e-160	464
NP_060116	KAN1671192.1	30.5	3.00e-54	188
NP_001041638	KAN1692679.1	40.0	6.12e-83	266
NP_036354	KAN1692679.1	40.0	1.21e-82	266
NP_001121897	KAN1692679.1	40.0	1.31e-82	266
NP_001041639	KAN1692679.1	40.0	6.12e-83	266
NP_001041636	KAN1692679.1	40.0	9.00e-83	266
NP_001041637	KAN1692679.1	40.0	6.29e-83	266
NP_060751	KAN1687092.1	37.7	3.50e-41	143
NP_001185891	KAN1687092.1	39.6	1.93e-17	79.0
NP_001185890	KAN1687092.1	46.8	4.63e-63	201
NP_001007099	KAN1674523.1	53.3	1.22e-91	279
NP_000089	KAN1690858.1	30.1	1.23e-74	250
NP_001880	KAN1677994.1	32.7	4.26e-40	142
NP_001123515	KAN1677994.1	34.6	8.77e-29	111
NP_001123514	KAN1677994.1	32.7	4.26e-40	142
NP_001128231	KAN1677994.1	31.7	1.22e-17	78.2
NP_001120800	KAN1692427.1	35.6	1.49e-61	204
NP_000007	KAN1692427.1	35.6	1.33e-61	204
NP_001272973	KAN1692427.1	38.8	1.09e-40	142
NP_001272971	KAN1692427.1	35.5	1.76e-62	205
NP_001272972	KAN1692427.1	33.2	4.17e-56	190
NP_001008662	KAN1687345.1	35.7	6.56e-82	257
NP_001008661	KAN1687345.1	35.0	1.83e-81	257
NP_037518	KAN1687185.1	30.4	3.49e-48	174
NP_998816	KAN1687185.1	37.9	3.19e-48	173
NP_001229603	KAN1692939.1	51.0	4.46e-150	434
NP_006612	KAN1692939.1	51.0	2.27e-149	434
NP_001229604	KAN1692939.1	51.0	4.46e-150	434
NP_001229602	KAN1692939.1	51.0	4.46e-150	434
NP_001229605	KAN1692939.1	51.0	4.46e-150	434
NP_001159579	KAN1678686.1	41.6	8.76e-122	363
NP_005509	KAN1678686.1	47.2	2.48e-146	427
NP_079483	KAN1671951.1	39.3	6.36e-45	161
NP_001171820	KAN1671951.1	36.8	5.87e-38	140
NP_001171821	KAN1672127.1	25.9	5.15e-19	84.3
NP_958800	KAN1671951.1	39.3	1.31e-45	161
NP_001129294	KAN1678414.1	45.0	9.06e-93	280
NP_001229753	KAN1678414.1	45.0	9.06e-93	280
NP_001995	KAN1678414.1	45.0	8.03e-92	280
NP_001129293	KAN1678414.1	45.0	8.03e-92	280
NP_001229754	KAN1678414.1	44.9	1.08e-72	225
NP_055470	KAN1678217.1	23.0	1.66e-10	60.8
NP_001273113	KAN1678217.1	22.6	1.81e-10	60.8
NP_658985	KAN1681104.1	51.3	2.08e-70	216
