protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAJ8688668.1	Q94ZJ2	80.5	8.9e-234	Cytochrome b		GO:0005743;GO:0006122;GO:0008121;GO:0016491;GO:0045275;GO:0046872	
KAJ8688669.1	Q0H8X4	60.7	1.5e-121	Cytochrome c oxidase subunit 3	7.1.1.9	GO:0004129;GO:0005739;GO:0005743;GO:0006123;GO:0045277	
KAJ8688670.1	Q4WVZ0	54.3	6.0e-97	Uncharacterized protein AFUA_5G13800			afm:AFUA_5G13800
KAJ8688671.1	P23249	39.5	5.5e-129	RNA helicase MOV-10	5.6.2.5 {ECO:0000250|UniProtKB:Q9HCE1}	GO:0000932;GO:0003723;GO:0005524;GO:0005634;GO:0005829;GO:0010494;GO:0010526;GO:0016887;GO:0032574;GO:0035194;GO:0035195;GO:0035279;GO:0036464;GO:0043186;GO:0051607;GO:0061014;GO:0061158;GO:0141008;GO:0150011	mmu:17454
KAJ8688672.1	P41836	82.7	1.8e-223	26S proteasome regulatory subunit 8 homolog		GO:0005524;GO:0005634;GO:0005635;GO:0005829;GO:0008540;GO:0010498;GO:0016887;GO:0036402;GO:0043161	spo:2540487
KAJ8688675.1	Q5A5P7	65.1	1.7e-133	Probable magnesium transporter		GO:0005769;GO:0005886;GO:0015095;GO:0015693;GO:0016020	cal:CAALFM_C210720CA
KAJ8688678.1	P87035	35.7	3.5e-44	Guanine nucleotide-binding protein alpha-4 subunit		GO:0001664;GO:0003924;GO:0005525;GO:0005737;GO:0005834;GO:0007188;GO:0031683;GO:0046872	uma:UMAG_05385
KAJ8688680.1	B0ZT44	40.6	2.1e-47	Elsinochrome reductase 1	1.1.1.- {ECO:0000305|PubMed:18957608}	GO:0016614	
KAJ8688684.1	P87172	49.9	2.2e-141	Phosphatidylinositol N-acetylglucosaminyltransferase gpi3 subunit	2.4.1.198	GO:0000506;GO:0005789;GO:0006506;GO:0017176;GO:0031505	spo:2540986
KAJ8688685.1	O94512	37.0	1.3e-94	Oxysterol-binding protein-like protein 1		GO:0005783;GO:0005829;GO:0006629;GO:0008142;GO:0016020;GO:0032934;GO:0120011;GO:0120015	spo:2541093
KAJ8688687.1	Q6C8H7	45.5	5.2e-93	Mitochondrial inner membrane magnesium transporter LPE10		GO:0005743;GO:0015095;GO:0045016	yli:2911169
KAJ8688689.1	Q53HI1	48.7	3.5e-57	Protein unc-50 homolog		GO:0000139;GO:0003723;GO:0005637;GO:0034394	hsa:25972
KAJ8688692.1	O42773	72.9	3.0e-315	Serine/threonine-protein phosphatase 2B catalytic subunit A1	3.1.3.16	GO:0005516;GO:0005955;GO:0008199;GO:0008270;GO:0033192;GO:0035556;GO:0097720;GO:1900182	cng:CNAG_04796
KAJ8688694.1	O13919	30.2	2.9e-50	Paired amphipathic helix protein pst2		GO:0000122;GO:0000785;GO:0003714;GO:0005634;GO:0032221;GO:0045815;GO:0060090;GO:0070822	spo:2541624
KAJ8688695.1	A0A4V1DXC4	49.3	3.5e-145	O-acetyltransferase dmxR13	2.3.1.- {ECO:0000305|PubMed:30996871}	GO:0016746	
KAJ8688696.1	O43011	58.8	4.3e-27	Histidine--tRNA ligase, mitochondrial	6.1.1.21	GO:0002181;GO:0003723;GO:0004821;GO:0005524;GO:0005739;GO:0005759;GO:0005829;GO:0006427;GO:0032543	spo:2540472
KAJ8688697.1	O43011	58.3	4.4e-27	Histidine--tRNA ligase, mitochondrial	6.1.1.21	GO:0002181;GO:0003723;GO:0004821;GO:0005524;GO:0005739;GO:0005759;GO:0005829;GO:0006427;GO:0032543	spo:2540472
KAJ8688699.1	Q0CLK1	39.6	3.2e-84	Pyruvate carboxylase	6.4.1.1	GO:0004736;GO:0005524;GO:0005737;GO:0006094;GO:0046872	
KAJ8688700.1	Q3J4E3	33.2	3.4e-62	Propionyl-CoA carboxylase beta chain	6.4.1.3 {ECO:0000269|PubMed:26170412}	GO:0003989;GO:0004658;GO:0005524;GO:0009317;GO:0015977	rsp:RSP_2189
KAJ8688702.1	P40310	38.5	2.5e-15	Outward-rectifier potassium channel TOK1		GO:0005249;GO:0005267;GO:0005886;GO:0015271;GO:0022841;GO:0030007;GO:0034702;GO:0071805;GO:0071944	sce:YJL093C
KAJ8688703.1	P40310	39.8	5.7e-15	Outward-rectifier potassium channel TOK1		GO:0005249;GO:0005267;GO:0005886;GO:0015271;GO:0022841;GO:0030007;GO:0034702;GO:0071805;GO:0071944	sce:YJL093C
KAJ8688704.1	P40310	38.5	2.2e-15	Outward-rectifier potassium channel TOK1		GO:0005249;GO:0005267;GO:0005886;GO:0015271;GO:0022841;GO:0030007;GO:0034702;GO:0071805;GO:0071944	sce:YJL093C
