gene_id	protein_id	ontology	term_id	term_name
AAD021_000001	KAN1670664.1	GO_CC	GO:0005634	nucleus
AAD021_000001	KAN1670664.1	GO_MF	GO:0005524	ATP binding
AAD021_000001	KAN1670664.1	GO_MF	GO:0140658	ATP-dependent chromatin remodeler activity
AAD021_000001	KAN1670664.1	GO_MF	GO:0003677	DNA binding
AAD021_000001	KAN1670664.1	GO_MF	GO:0015616	DNA translocase activity
AAD021_000001	KAN1670664.1	GO_MF	GO:0004386	helicase activity
AAD021_000001	KAN1670664.1	GO_MF	GO:0016787	hydrolase activity
AAD021_000001	KAN1670664.1	GO_BP	GO:0006310	DNA recombination
AAD021_000001	KAN1670664.1	GO_BP	GO:0006281	DNA repair
AAD021_000001	KAN1670664.1	GO_BP	GO:0045951	positive regulation of mitotic recombination
AAD021_000010	KAN1670673.1	GO_CC	GO:0000785	chromatin
AAD021_000010	KAN1670673.1	GO_CC	GO:0005737	cytoplasm
AAD021_000010	KAN1670673.1	GO_CC	GO:0005634	nucleus
AAD021_000010	KAN1670673.1	GO_MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
AAD021_000010	KAN1670673.1	GO_MF	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
AAD021_000010	KAN1670673.1	GO_MF	GO:0008270	zinc ion binding
AAD021_000010	KAN1670673.1	GO_BP	GO:0042438	melanin biosynthetic process
AAD021_000012	KAN1670675.1	GO_CC	GO:0016020	membrane
AAD021_000012	KAN1670675.1	GO_MF	GO:0020037	heme binding
AAD021_000012	KAN1670675.1	GO_MF	GO:0005506	iron ion binding
AAD021_000012	KAN1670675.1	GO_MF	GO:0004497	monooxygenase activity
AAD021_000012	KAN1670675.1	GO_MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
AAD021_000017	KAN1670680.1	GO_CC	GO:0005576	extracellular region
AAD021_000017	KAN1670680.1	GO_CC	GO:0009277	fungal-type cell wall
AAD021_000017	KAN1670680.1	GO_MF	GO:0005199	structural constituent of cell wall
AAD021_000025	KAN1670687.1	GO_CC	GO:0016020	membrane
AAD021_000025	KAN1670687.1	GO_MF	GO:0020037	heme binding
AAD021_000025	KAN1670687.1	GO_MF	GO:0005506	iron ion binding
AAD021_000025	KAN1670687.1	GO_MF	GO:0004497	monooxygenase activity
AAD021_000025	KAN1670687.1	GO_MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
AAD021_000026	KAN1670688.1	GO_CC	GO:0005743	mitochondrial inner membrane
AAD021_000026	KAN1670688.1	GO_CC	GO:0045273	respiratory chain complex II (succinate dehydrogenase)
AAD021_000026	KAN1670688.1	GO_MF	GO:0020037	heme binding
AAD021_000026	KAN1670688.1	GO_MF	GO:0046872	metal ion binding
AAD021_000026	KAN1670688.1	GO_MF	GO:0048039	ubiquinone binding
AAD021_000026	KAN1670688.1	GO_BP	GO:0006121	mitochondrial electron transport, succinate to ubiquinone
AAD021_000026	KAN1670688.1	GO_BP	GO:0006099	tricarboxylic acid cycle
AAD021_000044	KAN1670705.1	GO_CC	GO:0005576	extracellular region
AAD021_000044	KAN1670705.1	GO_MF	GO:0004222	metalloendopeptidase activity
AAD021_000044	KAN1670705.1	GO_MF	GO:0008270	zinc ion binding
AAD021_000044	KAN1670705.1	GO_BP	GO:0006508	proteolysis
AAD021_000045	KAN1670706.1	GO_CC	GO:0071013	catalytic step 2 spliceosome
AAD021_000045	KAN1670706.1	GO_CC	GO:0005634	nucleus
AAD021_000045	KAN1670706.1	GO_CC	GO:0046540	U4/U6 x U5 tri-snRNP complex
AAD021_000045	KAN1670706.1	GO_BP	GO:0045292	mRNA cis splicing, via spliceosome
AAD021_000045	KAN1670706.1	GO_BP	GO:0000398	mRNA splicing, via spliceosome
AAD021_000045	KAN1670706.1	GO_BP	GO:0000244	spliceosomal tri-snRNP complex assembly
AAD021_000046	KAN1670707.1	GO_MF	GO:0047681	aryl-alcohol dehydrogenase (NADP+) activity
AAD021_000048	KAN1670709.1	GO_CC	GO:0005576	extracellular region
AAD021_000048	KAN1670709.1	GO_MF	GO:0008422	beta-glucosidase activity
AAD021_000048	KAN1670709.1	GO_BP	GO:0030245	cellulose catabolic process
AAD021_000048	KAN1670709.1	KEGG	map00500	Starch and sucrose metabolism
AAD021_000048	KAN1670709.1	KEGG	map01100	Metabolic pathways
AAD021_000048	KAN1670709.1	KEGG	map00999	Biosynthesis of various plant secondary metabolites
AAD021_000048	KAN1670709.1	KEGG	map01110	Biosynthesis of secondary metabolites
AAD021_000048	KAN1670709.1	KEGG	map00460	Cyanoamino acid metabolism
AAD021_000048	KAN1670709.1	KEGG	map00946	Degradation of flavonoids
AAD021_000049	KAN1670710.1	GO_CC	GO:0005737	cytoplasm
AAD021_000049	KAN1670710.1	GO_CC	GO:0044732	mitotic spindle pole body
AAD021_000049	KAN1670710.1	GO_CC	GO:0000113	nucleotide-excision repair factor 4 complex
AAD021_000049	KAN1670710.1	GO_CC	GO:0005634	nucleus
AAD021_000049	KAN1670710.1	GO_CC	GO:0019005	SCF ubiquitin ligase complex
AAD021_000049	KAN1670710.1	GO_MF	GO:1990756	ubiquitin-like ligase-substrate adaptor activity
AAD021_000049	KAN1670710.1	GO_BP	GO:0006289	nucleotide-excision repair
AAD021_000049	KAN1670710.1	GO_BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
AAD021_000054	KAN1670715.1	GO_CC	GO:0005737	cytoplasm
AAD021_000054	KAN1670715.1	GO_CC	GO:0010494	cytoplasmic stress granule
AAD021_000054	KAN1670715.1	GO_CC	GO:0005634	nucleus
AAD021_000054	KAN1670715.1	GO_MF	GO:0005524	ATP binding
AAD021_000054	KAN1670715.1	GO_MF	GO:0004672	protein kinase activity
AAD021_000054	KAN1670715.1	GO_MF	GO:0106310	protein serine kinase activity
AAD021_000054	KAN1670715.1	GO_MF	GO:0004674	protein serine/threonine kinase activity
AAD021_000054	KAN1670715.1	GO_BP	GO:0030003	intracellular monoatomic cation homeostasis
AAD021_000054	KAN1670715.1	GO_BP	GO:0006873	intracellular monoatomic ion homeostasis
AAD021_000054	KAN1670715.1	GO_BP	GO:0006376	mRNA splice site recognition
AAD021_000054	KAN1670715.1	GO_BP	GO:0042307	positive regulation of protein import into nucleus
AAD021_000054	KAN1670715.1	GO_BP	GO:0008361	regulation of cell size
AAD021_000054	KAN1670715.1	GO_BP	GO:0050684	regulation of mRNA processing
AAD021_000054	KAN1670715.1	GO_BP	GO:0009410	response to xenobiotic stimulus
AAD021_000054	KAN1670715.1	GO_BP	GO:0000245	spliceosomal complex assembly
AAD021_000054	KAN1670715.1	GO_BP	GO:0035617	stress granule disassembly
AAD021_000057	KAN1670718.1	GO_CC	GO:0000324	fungal-type vacuole
AAD021_000057	KAN1670718.1	GO_CC	GO:0000329	fungal-type vacuole membrane
AAD021_000057	KAN1670718.1	GO_MF	GO:0015174	basic amino acid transmembrane transporter activity
AAD021_000057	KAN1670718.1	GO_MF	GO:0015182	L-asparagine transmembrane transporter activity
AAD021_000057	KAN1670718.1	GO_MF	GO:0015188	L-isoleucine transmembrane transporter activity
AAD021_000057	KAN1670718.1	GO_MF	GO:0015189	L-lysine transmembrane transporter activity
AAD021_000057	KAN1670718.1	GO_BP	GO:1990591	asparagine transmembrane import into vacuole
AAD021_000057	KAN1670718.1	GO_BP	GO:0015802	basic amino acid transport
AAD021_000057	KAN1670718.1	GO_BP	GO:1903714	isoleucine transmembrane transport
AAD021_000057	KAN1670718.1	GO_BP	GO:0090517	L-lysine transmembrane import into vacuole
AAD021_000057	KAN1670718.1	GO_BP	GO:0055085	transmembrane transport
AAD021_000058	KAN1670719.1	GO_CC	GO:0005759	mitochondrial matrix
AAD021_000058	KAN1670719.1	GO_CC	GO:0005739	mitochondrion
AAD021_000058	KAN1670719.1	GO_MF	GO:0004741	[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity
AAD021_000058	KAN1670719.1	GO_MF	GO:0046872	metal ion binding
AAD021_000058	KAN1670719.1	GO_BP	GO:0006086	pyruvate decarboxylation to acetyl-CoA
AAD021_000058	KAN1670719.1	KEGG	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
AAD021_000059	KAN1670720.1	GO_CC	GO:0005576	extracellular region
AAD021_000059	KAN1670720.1	GO_MF	GO:0004222	metalloendopeptidase activity
AAD021_000059	KAN1670720.1	GO_MF	GO:0008270	zinc ion binding
AAD021_000059	KAN1670720.1	GO_BP	GO:0006508	proteolysis
AAD021_000060	KAN1670721.1	GO_CC	GO:0005739	mitochondrion
AAD021_000060	KAN1670721.1	GO_MF	GO:0046872	metal ion binding
AAD021_000060	KAN1670721.1	GO_MF	GO:0050163	oxaloacetate tautomerase activity
AAD021_000060	KAN1670721.1	GO_BP	GO:0006107	oxaloacetate metabolic process
AAD021_000066	KAN1670727.1	GO_CC	GO:0016020	membrane
AAD021_000066	KAN1670727.1	GO_MF	GO:0005524	ATP binding
AAD021_000066	KAN1670727.1	GO_MF	GO:0000155	phosphorelay sensor kinase activity
AAD021_000066	KAN1670727.1	GO_MF	GO:0004673	protein histidine kinase activity
AAD021_000066	KAN1670727.1	GO_BP	GO:0071474	cellular hyperosmotic response
AAD021_000068	KAN1670729.1	GO_CC	GO:0005813	centrosome
AAD021_000068	KAN1670729.1	GO_CC	GO:0036064	ciliary basal body
AAD021_000068	KAN1670729.1	GO_CC	GO:0005737	cytoplasm
AAD021_000068	KAN1670729.1	GO_CC	GO:0005829	cytosol
AAD021_000068	KAN1670729.1	GO_CC	GO:0000931	gamma-tubulin ring complex
AAD021_000068	KAN1670729.1	GO_CC	GO:0005794	Golgi apparatus
AAD021_000068	KAN1670729.1	GO_CC	GO:0005874	microtubule
AAD021_000068	KAN1670729.1	GO_CC	GO:0035371	microtubule plus-end
AAD021_000068	KAN1670729.1	GO_CC	GO:0097431	mitotic spindle pole
