Tissue,File name
Exuding mycelium,GPNJ7M_1_sample_1A.fastq.gz
Exuding mycelium,GPNJ7M_2_sample_1B.fastq.gz
Exuding mycelium,GPNJ7M_3_sample_1C.fastq.gz
Exuding mycelium,GPNJ7M_4_sample_1D.fastq.gz
Exudophore,GPNJ7M_9_sample_2A.fastq.gz
Exudophore,GPNJ7M_10_sample_2B.fastq.gz
Exudophore,GPNJ7M_11_sample_2C.fastq.gz
Exudophore,GPNJ7M_12_sample_2D.fastq.gz
Fuzzy mycelium,GPNJ7M_5_sample_1E.fastq.gz
Fuzzy mycelium,GPNJ7M_6_sample_1F.fastq.gz
Fuzzy mycelium,GPNJ7M_7_sample_1G.fastq.gz
Fuzzy mycelium,GPNJ7M_8_sample_1H.fastq.gz
Nodule,GPNJ7M_13_sample_2E.fastq.gz
Nodule,GPNJ7M_14_sample_2F.fastq.gz
Nodule,GPNJ7M_15_sample_2G.fastq.gz
Nodule,GPNJ7M_16_sample_2H.fastq.gz
