"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_11_sample_2C",-27.6054444051274,33.8166240882726,"Exudophore",197078
"GPNJ7M_12_sample_2D",-12.7806234169214,38.9986698359418,"Exudophore",200302
"GPNJ7M_14_sample_2F",56.7240155084457,34.5216956678842,"Nodule",602155
"GPNJ7M_15_sample_2G",44.909279085274,4.46604819159056,"Nodule",537407
"GPNJ7M_16_sample_2H",36.296200105073,21.171534969492,"Nodule",2058465
"GPNJ7M_1_sample_1A",-35.4527312955631,1.89510182101453,"Exuding.mycelium",1084867
"GPNJ7M_2_sample_1B",81.2949760275939,-42.3290515693427,"Exuding.mycelium",463546
"GPNJ7M_4_sample_1D",-15.9015746453564,-56.2677635571545,"Exuding.mycelium",651065
"GPNJ7M_5_sample_1E",-31.0349436285168,-29.3444793365395,"Fuzzy.mycelium",1027041
"GPNJ7M_6_sample_1F",-31.8899808125056,-7.77607136473816,"Fuzzy.mycelium",363528
"GPNJ7M_7_sample_1G",-33.8036228363827,4.69290507631882,"Fuzzy.mycelium",869410
"GPNJ7M_8_sample_1H",-30.755549686013,-3.8452138227399,"Fuzzy.mycelium",918765
