"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_11_sample_2C",-12.9556978241399,28.5987329661578,"Exudophore",44381
"GPNJ7M_12_sample_2D",-6.16745637961471,28.9329890143501,"Exudophore",33286
"GPNJ7M_14_sample_2F",32.4838038305006,1.81778063667908,"Nodule",29188
"GPNJ7M_15_sample_2G",25.8553514836318,-2.87577245106278,"Nodule",27659
"GPNJ7M_16_sample_2H",31.913873946977,-7.49900453604771,"Nodule",896145
"GPNJ7M_1_sample_1A",-19.4947988236032,-9.59240101306701,"Exuding.mycelium",302273
"GPNJ7M_2_sample_1B",32.382325563579,-0.387431303893013,"Exuding.mycelium",13577
"GPNJ7M_4_sample_1D",-11.503937616316,-10.7410812602003,"Exuding.mycelium",18489
"GPNJ7M_5_sample_1E",-19.1588152137512,-12.3181210964068,"Fuzzy.mycelium",23295
"GPNJ7M_6_sample_1F",-19.024004327511,2.09615251603857,"Fuzzy.mycelium",29967
"GPNJ7M_7_sample_1G",-17.2290116014914,-8.39514896303566,"Fuzzy.mycelium",131720
"GPNJ7M_8_sample_1H",-17.101633038261,-9.63669450951225,"Fuzzy.mycelium",52517
