gene,tau,top_tissue,mean_Exuding mycelium,mean_Exudophore,mean_Fuzzy mycelium,mean_Nodule
PTI98_002221,0.5489043745403048,Exudophore,8.788,18.837,11.654,5.05
PTI98_002223,0.35886432372869587,Nodule,25.059,7.248,23.746,29.143
PTI98_002236,0.5295043422929727,Exudophore,5.415,16.59,12.095,5.908
PTI98_002242,0.2620754581611123,Fuzzy mycelium,21.8,24.828,26.16,11.284
PTI98_002274,0.6965080418874748,Exuding mycelium,25.219,11.83,7.936,3.196
PTI98_002276,0.7701539434145518,Exudophore,9.029,60.116,3.966,28.458
PTI98_002311,0.3476777984209407,Fuzzy mycelium,16.715,18.329,26.877,17.555
PTI98_002336,0.37570001308171613,Nodule,22.977,5.915,16.965,24.484
PTI98_002401,0.8517236142297042,Nodule,7.889,0.584,1.549,22.53
PTI98_002402,0.5256884083307728,Exuding mycelium,12.719,2.501,3.587,12.011
PTI98_002403,0.23981839562466886,Exuding mycelium,16.006,8.834,13.794,13.874
PTI98_002423,0.5727082588317135,Nodule,204.483,131.002,137.384,368.889
PTI98_002430,0.9727798671613593,Nodule,11.186,0.584,0.785,153.747
PTI98_002434,0.2645914137056811,Exudophore,18.237,19.242,14.974,9.242
PTI98_002435,0.4154553198795637,Exuding mycelium,76.843,72.375,53.281,9.099
PTI98_002438,0.9679412520553119,Nodule,2.896,0.0,0.0,30.114
PTI98_002458,0.20669703941350118,Fuzzy mycelium,125.325,100.211,129.126,81.773
PTI98_002459,0.5839843421558112,Fuzzy mycelium,5.336,6.334,15.332,7.465
PTI98_002463,0.48908525569066885,Nodule,27.043,21.4,22.89,46.539
PTI98_002479,0.8873476247797637,Nodule,8.203,0.0,0.953,27.093
PTI98_002483,0.12997502273294992,Exudophore,36.568,45.06,41.124,39.918
PTI98_002502,0.7070436845492057,Exuding mycelium,22.238,1.917,6.978,10.65
PTI98_002508,0.42017826099811934,Nodule,22.164,12.579,29.146,36.729
PTI98_002513,0.40375339666738075,Exuding mycelium,30.366,17.834,13.912,22.571
PTI98_002515,0.5672744652113361,Exudophore,6.964,26.833,14.48,13.391
PTI98_002519,0.5764727548160757,Nodule,16.425,14.914,19.206,39.781
PTI98_002520,0.7472073973166079,Exudophore,3.955,21.248,6.342,5.818
PTI98_002536,0.7179574410165216,Exudophore,19.336,54.924,16.52,10.616
PTI98_002556,0.8241591338650304,Nodule,23.52,6.575,1.016,58.976
PTI98_002562,0.4021488061656527,Nodule,22.765,17.745,30.578,39.635
PTI98_002594,0.6240132292199062,Nodule,35.043,21.159,22.809,70.048
