gene,tau,mean_Fuzzy mycelium,protein_name,EC,KEGG
PTI98_004335,0.947,87.518,,,
PTI98_010315,0.926,136.807,Albumin-2,,
PTI98_007898,0.919,120.812,,,
PTI98_003992,0.918,26.877,,,
PTI98_011071,0.889,39.271,,,
PTI98_007897,0.87,193.744,,,
PTI98_009108,0.864,23.085,,,
PTI98_007901,0.863,56.717,,,
PTI98_011070,0.862,137.428,Ostreolysin A6,,
PTI98_009953,0.844,25.577,,,
PTI98_004006,0.835,11.015,,,
PTI98_007889,0.835,47.301,,,
PTI98_011177,0.829,22.995,,,
PTI98_012427,0.829,108.326,Fruiting body differentiation protein 16,,
PTI98_003984,0.825,51.433,,,
PTI98_012707,0.823,17.359,,,
PTI98_008652,0.822,15.19,,,
PTI98_011922,0.811,33.171,Chitinase 1,3.2.1.14,
PTI98_012078,0.807,27.988,,,
PTI98_011703,0.792,34.007,,,
PTI98_007481,0.778,16.233,"Beta-1,3-glucan-binding protein",,
PTI98_003637,0.778,13.362,,,
PTI98_006764,0.762,24.194,,,
PTI98_004577,0.761,33.175,,,
PTI98_010430,0.757,22.807,,,
PTI98_001563,0.738,51.421,Lytic polysaccharide monooxygenase-like protein X325,,lbc:LACBIDRAFT_291896
PTI98_003981,0.733,17.687,,,
PTI98_002627,0.73,16.894,,,
PTI98_004736,0.729,14.487,Extracellular metalloprotease 1,3.4.24.-,cpw:9696034
PTI98_001772,0.728,18.657,,,
PTI98_009978,0.724,16.905,Calcium-transporting ATPase 2,7.2.2.10 {ECO:0000255|RuleBase:RU361146},cng:CNAG_01232
PTI98_000705,0.724,58.593,ABC multidrug transporter AFR1,,cng:CNAG_00730
PTI98_012703,0.702,26.531,,,
PTI98_010162,0.697,65.49,Glycerophosphocholine permease GIT4,,cal:CAALFM_C500870CA
PTI98_010894,0.695,22.013,Strobilurin A biosynthesis cluster protein l1,,
PTI98_007354,0.69,49.047,,,
PTI98_000183,0.69,25.092,,,
PTI98_004077,0.686,152.919,Appressoria-specific virulence factor GAS1,,mgr:MGG_12337
PTI98_005572,0.685,12.499,,,
PTI98_009759,0.684,13.557,Major facilitator-type transporter psiT2,,
PTI98_011753,0.679,17.369,"Sterol-4-alpha-carboxylate 3-dehydrogenase ERG26, decarboxylating",1.1.1.170 {ECO:0000269|PubMed:9811880},sce:YGL001C
PTI98_011595,0.679,27.516,Extracellular metalloproteinase MEP,3.4.24.-,mgr:MGG_13252
PTI98_012737,0.678,30.752,,,
PTI98_005255,0.674,99.811,,,
PTI98_011755,0.673,41.541,,,
PTI98_007482,0.672,36.191,,,
PTI98_000519,0.669,13.259,,,
PTI98_000443,0.668,19.919,,,
PTI98_013286,0.666,54.812,Hybrid signal transduction histidine kinase J,2.7.13.3,ddi:DDB_G0277883
PTI98_010455,0.661,34.23,Serine/threonine-protein kinase ssp1,2.7.11.1,spo:2538951
