gene,tau,mean_Nodule,protein_name,EC,KEGG
PTI98_013469,0.999,51.016,17.6 kDa class I heat shock protein,,
PTI98_008791,0.978,553.907,Heat shock protein 16,,spo:2540977
PTI98_009636,0.978,64.542,,,
PTI98_002430,0.973,153.747,Eliciting plant response-like protein CP1,,vda:VDAG_06199
PTI98_001762,0.973,70.59,,,
PTI98_011332,0.97,318.036,17.8 kDa class I heat shock protein,,ath:AT1G07400
PTI98_002438,0.968,30.114,Eliciting plant response-like protein CP1,,vda:VDAG_06199
PTI98_011128,0.96,136.688,Heat shock protein 16,,spo:2540977
PTI98_005278,0.96,170.509,,,
PTI98_000513,0.959,205.73,GMC oxidoreductase family protein Mala s 12,1.-.-.- {ECO:0000305},msym:MSY001_2108
PTI98_001941,0.956,23.414,Class I hydrophobin 7,,
PTI98_000432,0.949,145.298,,,
PTI98_011816,0.942,42.057,,,
PTI98_000468,0.94,898.841,,,
PTI98_005784,0.939,71.676,,,
PTI98_005248,0.939,23.473,,,
PTI98_013011,0.939,66.451,Short-chain dehydrogenase/reductase ARMGADRAFT_1018421,1.1.1.-,
PTI98_012615,0.938,80.797,Oleate hydratase,"4.2.1.53 {ECO:0000269|PubMed:19465645, ECO:0000269|PubMed:26077980}",
PTI98_013370,0.937,27.374,,,
PTI98_010297,0.935,61.96,DnaJ homolog subfamily B member 4,,mmu:67035
PTI98_010166,0.92,47.129,Probable phosphoketolase,4.1.2.-,spo:2540545
PTI98_002052,0.918,305.581,,,
PTI98_007893,0.911,165.874,,,
PTI98_001293,0.907,79.916,Heat shock protein 104,,spo:2540026
PTI98_010524,0.906,77.27,,,
PTI98_003276,0.906,744.702,Heat shock protein HSS1,,
PTI98_008547,0.903,45.436,,,
PTI98_010403,0.902,86.95,Chitin deacetylase,3.5.1.41 {ECO:0000269|PubMed:27901067},
PTI98_001564,0.902,100.395,,,
PTI98_012754,0.9,23.021,,,
PTI98_006682,0.899,690.2,,,
PTI98_008130,0.899,23.697,Putative agmatinase 1,3.5.3.11,spo:2541568
PTI98_001457,0.898,61.468,Mitogen-activated protein kinase tvk1,2.7.11.24 {ECO:0000305|PubMed:14673101},
PTI98_000546,0.892,125.233,Alpha-ketoglutarate-dependent xanthine dioxygenase xan1,1.14.11.48 {ECO:0000269|PubMed:15948966},spo:2539549
PTI98_002479,0.887,27.093,,,
PTI98_008389,0.872,54.907,,,
PTI98_010623,0.871,24.813,Class I hydrophobin 7,,
PTI98_013289,0.867,57.071,Uricase,1.7.3.3 {ECO:0000269|PubMed:8226863},ani:ANIA_09470
PTI98_007684,0.865,101.747,,,
PTI98_003327,0.859,381.008,Heat shock protein 90 homolog,,spo:2543539
PTI98_007381,0.859,19.684,,,
PTI98_011375,0.859,39.046,,,
PTI98_006918,0.858,31.28,,,
PTI98_003749,0.857,140.786,,,
PTI98_004729,0.856,33.95,2-hydroxy-palmitic acid dioxygenase mpo1,1.14.18.12 {ECO:0000250|UniProtKB:P25338},spo:2542322
PTI98_007727,0.852,14.843,Terpene synthase BipA,4.2.3.- {ECO:0000269|PubMed:38417166},
PTI98_002401,0.852,22.53,Uncharacterized methyltransferase C1347.09,2.1.1.-,spo:2540005
PTI98_012126,0.848,27.227,,,
PTI98_012052,0.845,1175.764,,,
PTI98_013506,0.842,277.326,Aldo-keto reductase str7,1.1.1.- {ECO:0000305|PubMed:30258052},
