gene,tau,mean_Exudophore,protein_name,EC,KEGG
AAD021_002509,0.967,56.32,Acetate--CoA ligase CCL3,6.2.1.- {ECO:0000269|PubMed:23300257};6.2.1.1 {ECO:0000269|PubMed:23300257};6.2.1.17 {ECO:0000269|PubMed:23300257},
AAD021_000128,0.957,30.796,FAD-dependent monooxygenase FUP4,1.-.-.- {ECO:0000269|PubMed:34357940},
AAD021_011248,0.954,87.373,Alcohol oxidase 1,1.1.3.13,
AAD021_007523,0.945,33.421,,,
AAD021_005830,0.943,48.86,,,
AAD021_003933,0.925,314.295,Formate dehydrogenase,"1.17.1.9 {ECO:0000255|HAMAP-Rule:MF_03210, ECO:0000269|PubMed:10691964, ECO:0000269|PubMed:11171126, ECO:0000269|PubMed:1248477, ECO:0000269|PubMed:17525463, ECO:0000269|PubMed:9226256}",
AAD021_010307,0.901,107.953,Amino-acid permease inda1,,
AAD021_012272,0.898,30.971,,,
AAD021_003007,0.896,102.164,Damage-control phosphatase SPAC806.04c,3.1.3.- {ECO:0000250|UniProtKB:Q04371},spo:2543077
AAD021_012383,0.889,365.532,Aldehyde oxidase GLOX,"1.2.3.15 {ECO:0000269|PubMed:3553159, ECO:0000269|PubMed:8557673}",ag:AAA33747
AAD021_003985,0.886,34.5,AA9 family lytic polysaccharide monooxygenase A,1.14.99.54 {ECO:0000269|PubMed:27590806};1.14.99.56 {ECO:0000269|PubMed:27590806},gtr:GLOTRDRAFT_45736
AAD021_011253,0.88,97.881,,,
AAD021_012248,0.872,38.927,Cytochrome P450 monooxygenase ple1,1.-.-.- {ECO:0000269|PubMed:28924980},
AAD021_002689,0.859,17.52,Uncharacterized transporter C1039.04,,spo:2542960
AAD021_010221,0.854,161.258,,,
AAD021_006660,0.852,36.837,MFS-type transporter cnsO,,
AAD021_000362,0.85,30.073,,,
AAD021_010578,0.848,174.476,Aldehyde dehydrogenase,1.2.1.3,
AAD021_008652,0.847,20.868,Cyanate hydratase,4.2.1.104 {ECO:0000255|HAMAP-Rule:MF_03139},lbc:LACBIDRAFT_174676
AAD021_002784,0.846,18.297,Cyanide hydratase,4.2.1.66 {ECO:0000269|PubMed:31795104},
AAD021_008481,0.842,30.077,Protein BMH2,,sce:YDR099W
AAD021_005967,0.84,48.913,Secreted mono- and diacylglycerol lipase MDL2,"3.1.1.- {ECO:0000269|PubMed:25749469, ECO:0000269|PubMed:27130210, ECO:0000269|PubMed:28433636}",mgl:MGL_0799
AAD021_004877,0.838,45.619,"Arginine--tRNA ligase, cytoplasmic",6.1.1.19,sce:YDR341C
AAD021_007143,0.834,108.259,,,
AAD021_006081,0.83,50.837,,,
AAD021_007787,0.819,25.052,,,
AAD021_001321,0.818,37.794,Cytochrome P450 monooxygenase 208,1.-.-.- {ECO:0000269|PubMed:21938516},
AAD021_011911,0.814,37.848,Lipase 5,3.1.1.3,
AAD021_003972,0.807,48.797,,,
AAD021_004481,0.801,25.052,,,
AAD021_003337,0.8,115.913,,,
AAD021_003088,0.797,25.349,,,
AAD021_005650,0.795,22.544,,,
AAD021_010422,0.793,195.802,Peroxisomal catalase,1.11.1.6 {ECO:0000255|PROSITE-ProRule:PRU10013},cal:CAALFM_C106810WA
AAD021_005127,0.79,42.761,Appressorium protein ROW1,,uma:UMAG_00309
AAD021_001617,0.784,51.839,DNA sliding clamp PCNA,,spo:2540020
AAD021_008436,0.778,41.857,5'-3' exoribonuclease 2,3.1.13.-,uma:UMAG_06164
AAD021_002426,0.777,21.048,"Putative thiosulfate sulfurtransferase, mitochondrial",2.8.1.1,spo:2543423
AAD021_011261,0.773,20.508,,,
AAD021_008268,0.764,19.911,Sugar transporter 3,,vda:VDAG_07563
AAD021_000340,0.762,23.259,Protein AE7,,ath:AT1G68310
AAD021_010671,0.762,62.977,Meiotically up-regulated gene 86 protein,,spo:2542020
AAD021_000084,0.76,63.489,Acetyl-CoA hydrolase,3.1.2.1,ncr:NCU09770
AAD021_012694,0.758,56.024,,,
AAD021_008498,0.755,25.232,Ras GTPase-activating-like protein rng2,,spo:2543129
AAD021_004154,0.754,335.626,,,
AAD021_010568,0.754,42.635,Aldehyde dehydrogenase,1.2.1.3,
AAD021_009787,0.75,51.48,Carboxylesterase/phospholipase LipF,3.1.1.1 {ECO:0000250|UniProtKB:O06350};3.1.4.3 {ECO:0000250|UniProtKB:O06350},mtc:MT3591
AAD021_011262,0.748,33.124,,,
AAD021_003712,0.746,46.635,Protein hob3,,spo:2541160
