gene,tau,top_tissue,mean_Exuding mycelium,mean_Exudophore,mean_Fuzzy mycelium,mean_Nodule
AAD021_012652,0.40776663005623476,Exuding mycelium,10.569,3.169,9.854,5.756
AAD021_012358,0.3276541520167126,Exudophore,33.615,41.916,28.997,21.933
AAD021_012362,0.24600832335657893,Exudophore,14.591,15.187,11.079,8.682
AAD021_012364,0.4966389727166065,Fuzzy mycelium,10.938,9.088,15.748,3.755
AAD021_012373,0.5887425103132485,Exudophore,12.052,42.994,15.895,25.098
AAD021_012378,0.4708821622337143,Exudophore,23.044,39.641,21.231,18.65
AAD021_012383,0.8894324927640241,Exudophore,30.443,365.532,78.436,12.369
AAD021_012463,0.5840701831124085,Fuzzy mycelium,19.395,9.088,32.502,12.073
AAD021_012478,0.48485976473438,Fuzzy mycelium,14.583,2.333,19.586,13.353
AAD021_012479,0.5060644287176904,Exudophore,16.756,50.878,17.061,41.574
AAD021_012482,0.560209817420979,Exudophore,24.471,54.41,25.542,21.773
AAD021_012484,0.8636536422865304,Exuding mycelium,29.907,3.11,0.833,8.29
AAD021_012487,0.5039873568599148,Nodule,32.035,38.572,31.681,68.74
AAD021_012492,0.674231695363878,Nodule,18.657,13.812,10.706,44.178
AAD021_012493,0.9514523794820056,Fuzzy mycelium,26.34,0.598,190.694,0.835
AAD021_012507,0.6101701528340309,Exudophore,28.322,59.305,9.229,31.806
AAD021_012513,0.687365758199979,Nodule,3.963,12.261,1.842,19.262
AAD021_012542,0.904004966842015,Nodule,12.053,0.778,3.109,55.348
AAD021_012543,0.540010055050706,Nodule,12.313,17.102,11.512,29.658
AAD021_012555,0.8463471612815665,Nodule,6.499,0.778,1.629,19.32
AAD021_012558,0.626709457095788,Fuzzy mycelium,23.831,0.598,46.432,27.57
AAD021_012559,0.6125600098625718,Nodule,21.674,15.488,7.485,38.412
AAD021_012574,0.5850645146844174,Exuding mycelium,29.5,3.169,23.678,9.875
AAD021_012584,0.3988435934827724,Fuzzy mycelium,4.916,11.119,12.011,5.627
AAD021_012603,0.33597453054561255,Fuzzy mycelium,32.611,25.295,39.288,20.358
AAD021_012615,0.35520827049342296,Exudophore,11.363,17.578,12.16,10.479
AAD021_012138,0.2822862013183743,Exuding mycelium,120.127,111.868,99.545,47.238
AAD021_012142,0.5162708287858161,Exuding mycelium,14.749,7.474,10.347,3.583
AAD021_012147,0.4591695337020026,Fuzzy mycelium,6.184,10.045,14.752,7.706
AAD021_012148,0.43911187509394684,Fuzzy mycelium,49.679,34.5,57.147,11.981
AAD021_012152,0.37316389364325975,Nodule,23.208,16.922,26.965,35.679
AAD021_012155,0.6540724378881632,Fuzzy mycelium,2.698,20.207,22.071,0.0
AAD021_012156,0.7465980711375361,Fuzzy mycelium,2.803,11.659,20.053,0.783
AAD021_012157,0.6996268388879101,Fuzzy mycelium,2.751,17.457,22.474,0.045
AAD021_012191,0.6990217140561871,Exuding mycelium,20.667,2.571,2.997,13.093
AAD021_012201,0.24639862186060857,Exudophore,200.762,277.215,251.591,174.376
AAD021_012209,0.5912848922850493,Exudophore,18.393,37.61,20.777,6.945
AAD021_012213,0.3318461804977849,Nodule,16.489,22.72,12.254,25.674
AAD021_012233,0.7758375591286336,Nodule,2.43,9.928,1.188,20.145
AAD021_012234,0.3911185457724864,Nodule,11.469,7.295,8.809,15.095
AAD021_012236,0.18497688131001935,Fuzzy mycelium,18.921,20.868,27.408,27.225
AAD021_012243,0.3601211460933224,Exuding mycelium,68.267,45.201,41.362,44.485
AAD021_012246,0.4685167932315742,Fuzzy mycelium,11.418,2.751,14.889,9.571
AAD021_012248,0.8722179197287252,Exudophore,2.854,38.927,11.934,0.134
AAD021_012256,0.27433054905812654,Exudophore,35.893,43.412,29.935,28.681
AAD021_012257,0.32323409891089494,Exudophore,19.714,29.834,11.404,29.455
AAD021_012258,0.4584812328818904,Nodule,44.027,42.329,44.079,80.29
AAD021_012260,0.3606314675380419,Exuding mycelium,35.786,27.264,23.219,18.158
AAD021_012272,0.8975233006557684,Exudophore,1.797,30.971,5.329,2.395
AAD021_012306,0.7180497425428105,Nodule,13.213,16.805,4.922,41.308
AAD021_012319,0.4532161180628654,Exuding mycelium,2878.31,1654.047,2876.785,190.609
AAD021_012349,0.7281106208316478,Nodule,7.292,4.485,9.212,25.733
AAD021_012352,0.19774564404356643,Exuding mycelium,36.041,30.019,29.918,26.805
AAD021_011760,0.2954955052944783,Nodule,24.895,25.47,19.93,33.26
AAD021_011788,0.3581646766096252,Nodule,7.77,7.474,11.973,14.135
AAD021_011820,0.43717151187312386,Exuding mycelium,17.493,4.724,16.286,8.527
AAD021_011860,0.6829633126487819,Exudophore,16.283,41.435,11.115,12.011
AAD021_011872,0.3338817751508892,Exudophore,9.143,11.6,9.887,4.152
AAD021_011876,0.6076391705250933,Exudophore,15.644,67.273,43.625,19.918
AAD021_011891,0.3010665902711319,Fuzzy mycelium,9.883,6.517,10.424,5.456
AAD021_011894,0.7347549932431509,Nodule,12.634,3.348,5.41,26.884
AAD021_011905,0.6640045326038929,Nodule,10.409,2.153,1.387,13.838
AAD021_011908,0.36232216842849807,Exuding mycelium,33.839,23.619,21.066,20.05
AAD021_011911,0.8141073538862243,Exudophore,3.963,37.848,14.263,2.882
AAD021_011913,0.8827954245798658,Nodule,3.224,2.751,4.945,31.057
AAD021_011968,0.801286734224976,Nodule,33.732,12.733,40.896,146.544
AAD021_012007,0.29570931493889835,Fuzzy mycelium,27.585,32.172,43.239,31.601
AAD021_012014,0.40204483229469035,Fuzzy mycelium,13.9,5.501,15.731,8.817
AAD021_012017,0.19471077122477456,Exuding mycelium,30.923,22.423,30.115,22.166
AAD021_012019,0.3270746341038065,Fuzzy mycelium,13.156,18.239,20.129,9.242
AAD021_012031,0.46975293594865014,Exuding mycelium,16.815,2.153,10.832,13.764
AAD021_011496,0.4662255808470488,Fuzzy mycelium,9.144,6.099,17.498,12.778
AAD021_011641,0.6289949544855681,Exudophore,25.473,73.363,26.993,29.189
AAD021_011647,0.5925262592490339,Fuzzy mycelium,12.427,6.337,16.136,0.961
