gene,tau,mean_Exuding mycelium,protein_name,EC,KEGG
AAD021_003354,0.872,43.175,,,
AAD021_012484,0.864,29.907,,,
AAD021_000623,0.833,48.239,Aryl-alcohol dehydrogenase [NADP(+)],1.1.1.91,
AAD021_009406,0.796,31.627,O-methyltransferase tpcA,2.1.1.283 {ECO:0000305|PubMed:26242966},afm:AFUA_4G14580
AAD021_007391,0.755,19.198,Versicolorin reductase 1,1.3.1.- {ECO:0000269|PubMed:26266881},
AAD021_000082,0.753,31.608,Ammonium transporter 1,,spo:2539332
AAD021_010941,0.718,27.651,,,
AAD021_008862,0.709,21.459,Appressorium protein ROW2,,uma:UMAG_00961
AAD021_012191,0.699,20.667,,,
AAD021_006457,0.696,24.052,,,
AAD021_009665,0.688,53.912,Dehydrogenase mpl7,1.1.-.- {ECO:0000305|PubMed:27913218},
AAD021_007869,0.682,125.27,,,
AAD021_002164,0.68,17.291,Uncharacterized ABC transporter ATP-binding protein C29A3.09c,,spo:2540597
AAD021_004585,0.678,42.378,,,
AAD021_008182,0.676,27.383,,,
AAD021_001496,0.668,17.976,,,
AAD021_010894,0.657,18.342,,,
AAD021_006936,0.641,24.055,,,
AAD021_009666,0.626,24.573,,,
AAD021_006556,0.621,39.951,High-affinity zinc transporter ZRT1,,sce:YGL255W
AAD021_009304,0.619,49.733,,,
AAD021_003306,0.618,170.009,,,
AAD021_005229,0.607,8.031,,,
AAD021_006466,0.599,13.316,,,
AAD021_008795,0.589,602.264,,,
AAD021_012574,0.585,29.5,,,
AAD021_008728,0.585,20.944,,,
AAD021_000318,0.58,18.447,Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2,3.2.2.n1,osa:107275650
AAD021_011287,0.576,16.437,Zinc-type alcohol dehydrogenase-like protein PB24D3.08c,1.-.-.-,spo:2543522
AAD021_004986,0.57,10.623,,,
AAD021_009351,0.565,16.01,Arginase,3.5.3.1 {ECO:0000269|PubMed:38300354},
AAD021_011002,0.563,18.716,Metacaspase-1,3.4.22.-,uma:UMAG_01408
AAD021_007182,0.561,22.899,Carbonic anhydrase 2,4.2.1.1 {ECO:0000269|PubMed:11316870},ecj:JW0122;eco:b0126;ecoc:C3026_00535
AAD021_002073,0.559,17.073,,,
AAD021_005966,0.558,20.14,Secreted mono- and diacylglycerol lipase MDL2,"3.1.1.- {ECO:0000269|PubMed:25749469, ECO:0000269|PubMed:27130210, ECO:0000269|PubMed:28433636}",mgl:MGL_0799
AAD021_008492,0.553,47.78,,,
AAD021_003912,0.547,43.515,UTP--glucose-1-phosphate uridylyltransferase,2.7.7.9 {ECO:0000305|PubMed:32540188},vda:VDAG_03025
AAD021_006401,0.545,57.625,,,
AAD021_001171,0.543,32.034,,,
AAD021_002377,0.541,18.242,"Biotin synthase, mitochondrial",2.8.1.6 {ECO:0000305|PubMed:20713166},ani:ANIA_06643
AAD021_003324,0.537,20.665,,,
AAD021_004097,0.537,19.347,,,
AAD021_010030,0.528,28.39,Serine/threonine-protein kinase CLA4,2.7.11.1,ago:AGOS_AEL205W
AAD021_011131,0.526,44.941,Peroxiredoxin-6,"1.11.1.27 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:9497358};2.3.1.23 {ECO:0000269|PubMed:26830860};3.1.1.4 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:26830860}",hsa:9588
AAD021_006423,0.52,19.136,,,
AAD021_000658,0.519,28.546,Protein SIP5,,cim:CIMG_04429
AAD021_008233,0.518,30.241,Nitronate monooxygenase,1.13.12.16,ncr:NCU03949
AAD021_007418,0.517,22.887,,,
AAD021_012142,0.516,14.749,,,
AAD021_004344,0.516,19.725,,,
