CM148777.1_1	CM148777.1_1	100	114	2.44e-71	200
CM148777.1_2	CM148777.1_2	100	473	0.0	905
CM148777.1_2	CM148777.1_7	23.9	284	8.34e-09	47.8
CM148777.1_3	CM148777.1_3	100	487	0.0	960
CM148777.1_3	CM148777.1_5	29.2	250	2.46e-18	77.8
CM148777.1_4	CM148777.1_4	100	311	1.69e-236	634
CM148777.1_5	CM148777.1_5	100	419	9.96e-311	831
CM148777.1_5	CM148777.1_3	28.4	264	2.11e-18	77.8
CM148777.1_6	CM148777.1_6	100	357	1.80e-252	678
CM148777.1_7	CM148777.1_7	100	353	5.21e-259	694
CM148777.1_7	CM148777.1_2	23.8	189	6.22e-09	47.8
CM148777.1_8	CM148777.1_8	100	336	4.23e-229	617
CM148777.1_9	CM148777.1_9	100	501	0.0	934
CM148777.1_9	CM148777.1_25	24.0	267	1.87e-12	60.1
CM148777.1_9	CM148777.1_41	23.3	348	1.47e-10	53.9
CM148777.1_10	CM148777.1_10	100	215	5.50e-135	369
CM148777.1_11	CM148777.1_11	100	107	9.14e-75	208
CM148777.1_12	CM148777.1_12	100	271	9.55e-182	492
CM148777.1_13	CM148777.1_13	100	815	0.0	1634
CM148777.1_14	CM148777.1_14	100	381	8.41e-238	643
CM148777.1_15	CM148777.1_15	100	111	4.62e-79	219
CM148777.1_16	CM148777.1_16	100	354	1.98e-243	655
CM148777.1_17	CM148777.1_17	100	735	0.0	1319
CM148777.1_18	CM148777.1_18	100	403	5.19e-298	797
CM148777.1_19	CM148777.1_19	100	252	1.84e-190	513
CM148777.1_20	CM148777.1_20	100	118	1.44e-74	209
CM148777.1_21	CM148777.1_21	100	320	4.09e-228	613
CM148777.1_22	CM148777.1_22	100	111	6.82e-81	224
CM148777.1_23	CM148777.1_23	100	296	7.62e-221	593
CM148777.1_24	CM148777.1_24	100	117	4.49e-73	205
CM148777.1_25	CM148777.1_25	100	676	0.0	1262
CM148777.1_25	CM148777.1_9	24.0	271	6.77e-14	65.1
CM148777.1_25	CM148777.1_41	22.1	399	4.90e-12	59.3
CM148777.1_26	CM148777.1_26	100	142	1.81e-93	258
CM148777.1_26	CM148777.1_28	66.9	139	4.06e-60	174
CM148777.1_27	CM148777.1_27	100	382	3.45e-212	578
CM148777.1_28	CM148777.1_28	100	152	1.91e-102	282
CM148777.1_28	CM148777.1_26	68.1	135	2.64e-61	177
CM148777.1_29	CM148777.1_29	100	179	1.17e-116	320
CM148777.1_30	CM148777.1_30	100	350	6.32e-238	641
CM148777.1_31	CM148777.1_31	100	362	8.85e-184	505
CM148777.1_32	CM148777.1_32	100	169	5.35e-99	275
CM148777.1_33	CM148777.1_33	100	132	1.12e-80	225
CM148777.1_34	CM148777.1_34	100	102	3.67e-74	206
CM148777.1_35	CM148777.1_35	100	106	7.54e-78	216
CM148777.1_36	CM148777.1_36	100	138	2.72e-102	280
CM148777.1_37	CM148777.1_37	100	114	1.47e-81	226
CM148777.1_38	CM148777.1_38	100	113	6.00e-67	189
CM148777.1_39	CM148777.1_39	100	100	3.57e-71	199
CM148777.1_40	CM148777.1_40	100	140	1.02e-98	271
CM148777.1_41	CM148777.1_41	100	578	0.0	1028
CM148777.1_41	CM148777.1_9	26.8	257	3.61e-09	49.7
CM148777.1_41	CM148777.1_25	22.7	374	1.96e-07	44.3
CM148777.1_42	CM148777.1_42	100	123	1.42e-81	227
CM148777.1_43	CM148777.1_43	100	122	4.58e-82	228
CM148777.1_44	CM148777.1_44	100	113	8.55e-76	211
CM148777.1_45	CM148777.1_45	100	181	1.02e-136	371
CM148777.1_46	CM148777.1_46	100	127	1.45e-94	260
CM148777.1_47	CM148777.1_47	100	185	7.49e-116	318
CM148777.1_48	CM148777.1_48	100	161	2.57e-118	323
CM148777.1_49	CM148777.1_49	100	112	1.09e-41	125
CM148777.1_50	CM148777.1_50	100	102	8.66e-73	203
CM148777.1_51	CM148777.1_51	100	335	7.51e-243	652
